alias	brand	family	line	model	av_type	alias_type	confidence	notes
сони ht-a9	SONY	HOME_THEATER	HT_A9	HT-A9	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.98	generated_head_alias
YAMAHA YHT-4950U	YAMAHA	YHT	YHT_4950U	YHT-4950U	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.88	generated_head_alias
YHT 4950U	YAMAHA	YHT	YHT_4950U	YHT-4950U	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.84	generated_head_alias
YHT-4950U	YAMAHA	YHT	YHT_4950U	YHT-4950U	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.95	generated_head_alias
yamaha yht-4950u	YAMAHA	YHT	YHT_4950U	YHT-4950U	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.92	generated_head_alias
yht-4950u	YAMAHA	YHT	YHT_4950U	YHT-4950U	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.92	generated_head_alias
LG LHB655	LG	HOME_THEATER	LHB	LHB655	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.91	generated_head_alias
LHB655	LG	HOME_THEATER	LHB	LHB655	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.84	generated_head_alias
lg lhb655	LG	HOME_THEATER	LHB	LHB655	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.85	generated_head_alias
lhb655	LG	HOME_THEATER	LHB	LHB655	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.89	generated_head_alias
лджи lhb655	LG	HOME_THEATER	LHB	LHB655	HOME_THEATER_SYSTEM	MODEL_ALIAS	0.94	generated_head_alias
SONY UBP-X700	SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.88	generated_head_alias
UBP X700	SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.97	generated_head_alias
UBP-X700	SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.88	generated_head_alias
sony ubp-x700	SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.93	generated_head_alias
ubp-x700	SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.86	generated_head_alias
сони ubp-x700	SONY	UBP	X700	UBP-X700	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.94	generated_head_alias
DP UB820	PANASONIC	DP_UB	UB820	DP-UB820	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.9	generated_head_alias
DP-UB820	PANASONIC	DP_UB	UB820	DP-UB820	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.95	generated_head_alias
PANASONIC DP-UB820	PANASONIC	DP_UB	UB820	DP-UB820	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.91	generated_head_alias
dp-ub820	PANASONIC	DP_UB	UB820	DP-UB820	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.86	generated_head_alias
panasonic dp-ub820	PANASONIC	DP_UB	UB820	DP-UB820	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.97	generated_head_alias
LG UBK90	LG	UBK	UBK90	UBK90	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.85	generated_head_alias
UBK90	LG	UBK	UBK90	UBK90	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.83	generated_head_alias
lg ubk90	LG	UBK	UBK90	UBK90	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.97	generated_head_alias
ubk90	LG	UBK	UBK90	UBK90	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.93	generated_head_alias
лджи ubk90	LG	UBK	UBK90	UBK90	DVD_BLU_RAY_PLAYER	MODEL_ALIAS	0.89	generated_head_alias
APPLE Siri Remote 3rd gen	APPLE	SIRI_REMOTE	3RD_GEN	Siri Remote 3rd gen	REMOTE_CONTROL	MODEL_ALIAS	0.89	generated_head_alias
Siri Remote 3rd gen	APPLE	SIRI_REMOTE	3RD_GEN	Siri Remote 3rd gen	REMOTE_CONTROL	MODEL_ALIAS	0.98	generated_head_alias
apple siri remote 3rd gen	APPLE	SIRI_REMOTE	3RD_GEN	Siri Remote 3rd gen	REMOTE_CONTROL	MODEL_ALIAS	0.92	generated_head_alias
siri remote 3rd gen	APPLE	SIRI_REMOTE	3RD_GEN	Siri Remote 3rd gen	REMOTE_CONTROL	MODEL_ALIAS	0.94	generated_head_alias
эпл siri remote 3rd gen	APPLE	SIRI_REMOTE	3RD_GEN	Siri Remote 3rd gen	REMOTE_CONTROL	MODEL_ALIAS	0.95	generated_head_alias
SAMSUNG Smart Remote BN59	SAMSUNG	SMART_REMOTE	BN59	Smart Remote BN59	REMOTE_CONTROL	MODEL_ALIAS	0.96	generated_head_alias
Smart Remote BN59	SAMSUNG	SMART_REMOTE	BN59	Smart Remote BN59	REMOTE_CONTROL	MODEL_ALIAS	0.93	generated_head_alias
samsung smart remote bn59	SAMSUNG	SMART_REMOTE	BN59	Smart Remote BN59	REMOTE_CONTROL	MODEL_ALIAS	0.98	generated_head_alias
smart remote bn59	SAMSUNG	SMART_REMOTE	BN59	Smart Remote BN59	REMOTE_CONTROL	MODEL_ALIAS	0.96	generated_head_alias
самсунг smart remote bn59	SAMSUNG	SMART_REMOTE	BN59	Smart Remote BN59	REMOTE_CONTROL	MODEL_ALIAS	0.95	generated_head_alias
LG Magic Remote MR23	LG	MAGIC_REMOTE	MR_SERIES	Magic Remote MR23	REMOTE_CONTROL	MODEL_ALIAS	0.88	generated_head_alias
Magic Remote MR23	LG	MAGIC_REMOTE	MR_SERIES	Magic Remote MR23	REMOTE_CONTROL	MODEL_ALIAS	0.87	generated_head_alias
lg magic remote mr23	LG	MAGIC_REMOTE	MR_SERIES	Magic Remote MR23	REMOTE_CONTROL	MODEL_ALIAS	0.96	generated_head_alias
magic remote mr23	LG	MAGIC_REMOTE	MR_SERIES	Magic Remote MR23	REMOTE_CONTROL	MODEL_ALIAS	0.88	generated_head_alias
лджи magic remote mr23	LG	MAGIC_REMOTE	MR_SERIES	Magic Remote MR23	REMOTE_CONTROL	MODEL_ALIAS	0.94	generated_head_alias
SONY Voice Remote RMF-TX	SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	MODEL_ALIAS	0.86	generated_head_alias
Voice Remote RMF TX	SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	MODEL_ALIAS	0.87	generated_head_alias
Voice Remote RMF-TX	SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	MODEL_ALIAS	0.87	generated_head_alias
sony voice remote rmf-tx	SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	MODEL_ALIAS	0.96	generated_head_alias
voice remote rmf-tx	SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	MODEL_ALIAS	0.96	generated_head_alias
сони voice remote rmf-tx	SONY	VOICE_REMOTE	RMF	Voice Remote RMF-TX	REMOTE_CONTROL	MODEL_ALIAS	0.95	generated_head_alias
ROKU Voice Remote Pro	ROKU	VOICE_REMOTE	PRO	Voice Remote Pro	REMOTE_CONTROL	MODEL_ALIAS	0.93	generated_head_alias
Voice Remote Pro	ROKU	VOICE_REMOTE	PRO	Voice Remote Pro	REMOTE_CONTROL	MODEL_ALIAS	0.96	generated_head_alias
roku voice remote pro	ROKU	VOICE_REMOTE	PRO	Voice Remote Pro	REMOTE_CONTROL	MODEL_ALIAS	0.89	generated_head_alias
voice remote pro	ROKU	VOICE_REMOTE	PRO	Voice Remote Pro	REMOTE_CONTROL	MODEL_ALIAS	0.82	generated_head_alias
SANUS VLF728	SANUS	TV_MOUNT	VLF	VLF728	TV_MOUNT	MODEL_ALIAS	0.9	generated_head_alias
VLF728	SANUS	TV_MOUNT	VLF	VLF728	TV_MOUNT	MODEL_ALIAS	0.84	generated_head_alias
sanus vlf728	SANUS	TV_MOUNT	VLF	VLF728	TV_MOUNT	MODEL_ALIAS	0.93	generated_head_alias
vlf728	SANUS	TV_MOUNT	VLF	VLF728	TV_MOUNT	MODEL_ALIAS	0.88	generated_head_alias
TVM 5445	VOGELS	WALL	TVM	TVM 5445	TV_MOUNT	MODEL_ALIAS	0.91	generated_head_alias
VOGELS TVM 5445	VOGELS	WALL	TVM	TVM 5445	TV_MOUNT	MODEL_ALIAS	0.88	generated_head_alias
tvm 5445	VOGELS	WALL	TVM	TVM 5445	TV_MOUNT	MODEL_ALIAS	0.96	generated_head_alias
vogels tvm 5445	VOGELS	WALL	TVM	TVM 5445	TV_MOUNT	MODEL_ALIAS	0.9	generated_head_alias
M4	ONKRON	TV_MOUNT	M_SERIES	M4	TV_MOUNT	MODEL_ALIAS	0.85	generated_head_alias
ONKRON M4	ONKRON	TV_MOUNT	M_SERIES	M4	TV_MOUNT	MODEL_ALIAS	0.96	generated_head_alias
m4	ONKRON	TV_MOUNT	M_SERIES	M4	TV_MOUNT	MODEL_ALIAS	0.89	generated_head_alias
onkron m4	ONKRON	TV_MOUNT	M_SERIES	M4	TV_MOUNT	MODEL_ALIAS	0.93	generated_head_alias
Atlantis 99	KROMAX	TV_MOUNT	ATLANTIS	Atlantis-99	TV_MOUNT	MODEL_ALIAS	0.98	generated_head_alias
Atlantis-99	KROMAX	TV_MOUNT	ATLANTIS	Atlantis-99	TV_MOUNT	MODEL_ALIAS	0.88	generated_head_alias
KROMAX Atlantis-99	KROMAX	TV_MOUNT	ATLANTIS	Atlantis-99	TV_MOUNT	MODEL_ALIAS	0.95	generated_head_alias
atlantis-99	KROMAX	TV_MOUNT	ATLANTIS	Atlantis-99	TV_MOUNT	MODEL_ALIAS	0.97	generated_head_alias
kromax atlantis-99	KROMAX	TV_MOUNT	ATLANTIS	Atlantis-99	TV_MOUNT	MODEL_ALIAS	0.89	generated_head_alias
ELITE_SCREENS Sable Frame B2	ELITE_SCREENS	SABLE_FRAME	B2	Sable Frame B2	PROJECTOR_SCREEN	MODEL_ALIAS	0.95	generated_head_alias
Sable Frame B2	ELITE_SCREENS	SABLE_FRAME	B2	Sable Frame B2	PROJECTOR_SCREEN	MODEL_ALIAS	0.94	generated_head_alias
elite_screens sable frame b2	ELITE_SCREENS	SABLE_FRAME	B2	Sable Frame B2	PROJECTOR_SCREEN	MODEL_ALIAS	0.9	generated_head_alias
sable frame b2	ELITE_SCREENS	SABLE_FRAME	B2	Sable Frame B2	PROJECTOR_SCREEN	MODEL_ALIAS	0.84	generated_head_alias
ELITE_SCREENS Yard Master Plus	ELITE_SCREENS	YARD_MASTER	PLUS	Yard Master Plus	PROJECTOR_SCREEN	MODEL_ALIAS	0.86	generated_head_alias
Yard Master Plus	ELITE_SCREENS	YARD_MASTER	PLUS	Yard Master Plus	PROJECTOR_SCREEN	MODEL_ALIAS	0.91	generated_head_alias
elite_screens yard master plus	ELITE_SCREENS	YARD_MASTER	PLUS	Yard Master Plus	PROJECTOR_SCREEN	MODEL_ALIAS	0.84	generated_head_alias
yard master plus	ELITE_SCREENS	YARD_MASTER	PLUS	Yard Master Plus	PROJECTOR_SCREEN	MODEL_ALIAS	0.97	generated_head_alias
LUMENE Movie Palace UHD 4K	LUMENE	MOVIE_PALACE	UHD	Movie Palace UHD 4K	PROJECTOR_SCREEN	MODEL_ALIAS	0.95	generated_head_alias
Movie Palace UHD 4K	LUMENE	MOVIE_PALACE	UHD	Movie Palace UHD 4K	PROJECTOR_SCREEN	MODEL_ALIAS	0.84	generated_head_alias
lumene movie palace uhd 4k	LUMENE	MOVIE_PALACE	UHD	Movie Palace UHD 4K	PROJECTOR_SCREEN	MODEL_ALIAS	0.95	generated_head_alias
movie palace uhd 4k	LUMENE	MOVIE_PALACE	UHD	Movie Palace UHD 4K	PROJECTOR_SCREEN	MODEL_ALIAS	0.91	generated_head_alias
Descender Pro	PROJECTA	DESCENDER	PRO	Descender Pro	PROJECTOR_SCREEN	MODEL_ALIAS	0.95	generated_head_alias
PROJECTA Descender Pro	PROJECTA	DESCENDER	PRO	Descender Pro	PROJECTOR_SCREEN	MODEL_ALIAS	0.82	generated_head_alias
descender pro	PROJECTA	DESCENDER	PRO	Descender Pro	PROJECTOR_SCREEN	MODEL_ALIAS	0.94	generated_head_alias
projecta descender pro	PROJECTA	DESCENDER	PRO	Descender Pro	PROJECTOR_SCREEN	MODEL_ALIAS	0.91	generated_head_alias
SILVER_TICKET STR Series	SILVER_TICKET	STR	STR	STR Series	PROJECTOR_SCREEN	MODEL_ALIAS	0.86	generated_head_alias
STR Series	SILVER_TICKET	STR	STR	STR Series	PROJECTOR_SCREEN	MODEL_ALIAS	0.94	generated_head_alias
silver_ticket str series	SILVER_TICKET	STR	STR	STR Series	PROJECTOR_SCREEN	MODEL_ALIAS	0.95	generated_head_alias
str series	SILVER_TICKET	STR	STR	STR Series	PROJECTOR_SCREEN	MODEL_ALIAS	0.9	generated_head_alias
