phrase	locale	target_category_code	target_attribute	target_value	match_type	priority	route_intent	negative_guard	notes
pixel 9 pro	ru	TECH.PHONES	model	Pixel 9 Pro	normalized_phrase	88	include	false	
пиксель 9 pro	ru	TECH.PHONES	model	Pixel 9 Pro	normalized_phrase	86	include	false	
гугл пиксель 9 pro	ru	TECH.PHONES	model	Pixel 9 Pro	normalized_phrase	86	include	false	
pixel 9 pro fold	ru	TECH.PHONES	model	Pixel 9 Pro Fold	normalized_phrase	88	include	false	
пиксель 9 pro fold	ru	TECH.PHONES	model	Pixel 9 Pro Fold	normalized_phrase	86	include	false	
гугл пиксель 9 pro fold	ru	TECH.PHONES	model	Pixel 9 Pro Fold	normalized_phrase	86	include	false	
pixel 9	ru	TECH.PHONES	model	Pixel 9	normalized_phrase	88	include	false	
пиксель 9	ru	TECH.PHONES	model	Pixel 9	normalized_phrase	86	include	false	
гугл пиксель 9	ru	TECH.PHONES	model	Pixel 9	normalized_phrase	86	include	false	
pixel 9a	ru	TECH.PHONES	model	Pixel 9a	normalized_phrase	88	include	false	
пиксель 9a	ru	TECH.PHONES	model	Pixel 9a	normalized_phrase	86	include	false	
гугл пиксель 9a	ru	TECH.PHONES	model	Pixel 9a	normalized_phrase	86	include	false	
pixel 8 pro	ru	TECH.PHONES	model	Pixel 8 Pro	normalized_phrase	88	include	false	
пиксель 8 pro	ru	TECH.PHONES	model	Pixel 8 Pro	normalized_phrase	86	include	false	
гугл пиксель 8 pro	ru	TECH.PHONES	model	Pixel 8 Pro	normalized_phrase	86	include	false	
pixel 8	ru	TECH.PHONES	model	Pixel 8	normalized_phrase	88	include	false	
пиксель 8	ru	TECH.PHONES	model	Pixel 8	normalized_phrase	86	include	false	
гугл пиксель 8	ru	TECH.PHONES	model	Pixel 8	normalized_phrase	86	include	false	
pixel 8a	ru	TECH.PHONES	model	Pixel 8a	normalized_phrase	88	include	false	
пиксель 8a	ru	TECH.PHONES	model	Pixel 8a	normalized_phrase	86	include	false	
гугл пиксель 8a	ru	TECH.PHONES	model	Pixel 8a	normalized_phrase	86	include	false	
pixel 7 pro	ru	TECH.PHONES	model	Pixel 7 Pro	normalized_phrase	88	include	false	
пиксель 7 pro	ru	TECH.PHONES	model	Pixel 7 Pro	normalized_phrase	86	include	false	
гугл пиксель 7 pro	ru	TECH.PHONES	model	Pixel 7 Pro	normalized_phrase	86	include	false	
pixel 7	ru	TECH.PHONES	model	Pixel 7	normalized_phrase	88	include	false	
пиксель 7	ru	TECH.PHONES	model	Pixel 7	normalized_phrase	86	include	false	
гугл пиксель 7	ru	TECH.PHONES	model	Pixel 7	normalized_phrase	86	include	false	
pixel 7a	ru	TECH.PHONES	model	Pixel 7a	normalized_phrase	88	include	false	
пиксель 7a	ru	TECH.PHONES	model	Pixel 7a	normalized_phrase	86	include	false	
гугл пиксель 7a	ru	TECH.PHONES	model	Pixel 7a	normalized_phrase	86	include	false	
xiaomi 15	ru	TECH.PHONES	model	Xiaomi 15	normalized_phrase	88	include	false	
xiaomi 15 ultra	ru	TECH.PHONES	model	Xiaomi 15 Ultra	normalized_phrase	88	include	false	
xiaomi 14	ru	TECH.PHONES	model	Xiaomi 14	normalized_phrase	88	include	false	
xiaomi 14 ultra	ru	TECH.PHONES	model	Xiaomi 14 Ultra	normalized_phrase	88	include	false	
redmi 15	ru	TECH.PHONES	model	Redmi 15	normalized_phrase	88	include	false	
redmi 15 5g	ru	TECH.PHONES	model	Redmi 15 5G	normalized_phrase	88	include	false	
redmi 15c	ru	TECH.PHONES	model	Redmi 15C	normalized_phrase	88	include	false	
redmi note 14 pro+ 5g	ru	TECH.PHONES	model	Redmi Note 14 Pro+ 5G	normalized_phrase	88	include	false	
redmi note 14 pro 5g	ru	TECH.PHONES	model	Redmi Note 14 Pro 5G	normalized_phrase	88	include	false	
redmi note 14s	ru	TECH.PHONES	model	Redmi Note 14S	normalized_phrase	88	include	false	
redmi 13x	ru	TECH.PHONES	model	Redmi 13x	normalized_phrase	88	include	false	
redmi a5	ru	TECH.PHONES	model	Redmi A5	normalized_phrase	88	include	false	
poco f7 ultra	ru	TECH.PHONES	model	POCO F7 Ultra	normalized_phrase	88	include	false	
poco f7 pro	ru	TECH.PHONES	model	POCO F7 Pro	normalized_phrase	88	include	false	
poco f7	ru	TECH.PHONES	model	POCO F7	normalized_phrase	88	include	false	
poco m7 pro 5g	ru	TECH.PHONES	model	POCO M7 Pro 5G	normalized_phrase	88	include	false	
poco m7	ru	TECH.PHONES	model	POCO M7	normalized_phrase	88	include	false	
poco c71	ru	TECH.PHONES	model	POCO C71	normalized_phrase	88	include	false	
huawei pura 70 ultra	ru	TECH.PHONES	model	Huawei Pura 70 Ultra	normalized_phrase	88	include	false	
huawei mate 60 pro	ru	TECH.PHONES	model	Huawei Mate 60 Pro	normalized_phrase	88	include	false	
honor magic7 pro	ru	TECH.PHONES	model	Honor Magic7 Pro	normalized_phrase	88	include	false	
honor x9c	ru	TECH.PHONES	model	Honor X9c	normalized_phrase	88	include	false	
oneplus 13	ru	TECH.PHONES	model	OnePlus 13	normalized_phrase	88	include	false	
oneplus nord 4	ru	TECH.PHONES	model	OnePlus Nord 4	normalized_phrase	88	include	false	
oppo find x8 pro	ru	TECH.PHONES	model	OPPO Find X8 Pro	normalized_phrase	88	include	false	
oppo reno13 pro	ru	TECH.PHONES	model	OPPO Reno13 Pro	normalized_phrase	88	include	false	
vivo x200 pro	ru	TECH.PHONES	model	vivo X200 Pro	normalized_phrase	88	include	false	
vivo v40	ru	TECH.PHONES	model	vivo V40	normalized_phrase	88	include	false	
realme gt 7 pro	ru	TECH.PHONES	model	realme GT 7 Pro	normalized_phrase	88	include	false	
realme 14 pro+	ru	TECH.PHONES	model	realme 14 Pro+	normalized_phrase	88	include	false	
nothing phone (3)	ru	TECH.PHONES	model	Nothing Phone (3)	normalized_phrase	88	include	false	
nothing phone (2a)	ru	TECH.PHONES	model	Nothing Phone (2a)	normalized_phrase	88	include	false	
motorola edge 50 pro	ru	TECH.PHONES	model	Motorola Edge 50 Pro	normalized_phrase	88	include	false	
motorola razr 50 ultra	ru	TECH.PHONES	model	Motorola Razr 50 Ultra	normalized_phrase	88	include	false	
nokia 3310 (2017)	ru	TECH.PHONES	model	Nokia 3310 (2017)	normalized_phrase	88	include	false	
nokia 105	ru	TECH.PHONES	model	Nokia 105	normalized_phrase	88	include	false	
sony xperia 1 vi	ru	TECH.PHONES	model	Sony Xperia 1 VI	normalized_phrase	88	include	false	
asus rog phone 9 pro	ru	TECH.PHONES	model	ASUS ROG Phone 9 Pro	normalized_phrase	88	include	false	
tecno camon 30 pro	ru	TECH.PHONES	model	Tecno Camon 30 Pro	normalized_phrase	88	include	false	
infinix note 40 pro	ru	TECH.PHONES	model	Infinix Note 40 Pro	normalized_phrase	88	include	false	
blackview bv9300 pro	ru	TECH.PHONES	model	Blackview BV9300 Pro	normalized_phrase	88	include	false	
cat s75	ru	TECH.PHONES	model	CAT S75	normalized_phrase	88	include	false	
чехол iphone	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	phone accessory case
чехол айфон	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	phone accessory case
защитное стекло iphone	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	screen protector
пленка iphone	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	screen protector
зарядка iphone	ru	TECH.POWER_CHARGING_CABLES			normalized_phrase	130	exclude	true	charger
кабель iphone	ru	TECH.POWER_CHARGING_CABLES			normalized_phrase	130	exclude	true	cable
power bank	ru	TECH.POWER_CHARGING_CABLES			normalized_phrase	130	exclude	true	power bank
аккумулятор iphone	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	replacement part
дисплей iphone	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	replacement part
airpods	ru	TECH.AUDIO			normalized_phrase	130	exclude	true	audio not phone
наушники для телефона	ru	TECH.AUDIO			normalized_phrase	130	exclude	true	audio not phone
apple watch	ru	TECH.WEARABLES			normalized_phrase	130	exclude	true	wearable
galaxy watch	ru	TECH.WEARABLES			normalized_phrase	130	exclude	true	wearable
ремешок apple watch	ru	TECH.WEARABLES			normalized_phrase	130	exclude	true	watch band
ipad	ru	TECH.TABLETS_E_READERS			normalized_phrase	130	exclude	true	tablet
планшет samsung	ru	TECH.TABLETS_E_READERS			normalized_phrase	130	exclude	true	tablet
ноутбук	ru	TECH.COMPUTERS			normalized_phrase	130	exclude	true	computer
macbook	ru	TECH.COMPUTERS			normalized_phrase	130	exclude	true	computer
камера canon	ru	TECH.CAMERAS_DRONES			normalized_phrase	130	exclude	true	camera
рация	ru	TECH.OTHER_ELECTRONICS			normalized_phrase	130	exclude	true	not phone
стационарный телефон	ru	TECH.OTHER_ELECTRONICS			normalized_phrase	130	exclude	true	landline
сим карта	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	sim card/tool
phone card	ru	TECH.PHONE_ACCESSORIES			normalized_phrase	130	exclude	true	phone card
mixed lot cables	ru	TECH.POWER_CHARGING_CABLES			normalized_phrase	130	exclude	true	not phones
