query	expected_category_code	expected_phone_type	expected_attributes_json	should_route	notes
Redmi A5 128 гб	TECH.PHONES	SMARTPHONE	"{""brand"":""REDMI"",""model_name_text"":""Redmi A5"",""storage_capacity_gb"":128}"	true	
айфон 13 128 гб разлочен	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""model_name_text"":""iPhone 13"",""storage_capacity_gb"":128,""network_lock_status"":""UNLOCKED""}"	true	
самсунг s24 ultra 512gb	TECH.PHONES	SMARTPHONE	"{""brand"":""SAMSUNG"",""storage_capacity_gb"":512}"	true	
пиксель 10 про бу	TECH.PHONES	SMARTPHONE	"{""brand"":""GOOGLE"",""condition"":""GOOD""}"	true	
xiaomi 15 новый	TECH.PHONES	SMARTPHONE	"{""brand"":""XIAOMI"",""condition"":""NEW""}"	true	
кнопочный nokia 105	TECH.PHONES	FEATURE_PHONE	"{""brand"":""NOKIA"",""phone_type"":""FEATURE_PHONE""}"	true	
защищенный телефон blackview ip68	TECH.PHONES	RUGGED_PHONE	"{""brand"":""BLACKVIEW"",""phone_type"":""RUGGED_PHONE""}"	true	
складной samsung fold 6	TECH.PHONES	FOLDABLE_PHONE	"{""brand"":""SAMSUNG"",""phone_type"":""FOLDABLE_PHONE""}"	true	
спутниковый телефон iridium	TECH.PHONES	SATELLITE_PHONE	"{""phone_type"":""SATELLITE_PHONE""}"	true	
iphone 12 mini акб 86	TECH.PHONES	SMARTPHONE	"{""brand"":""APPLE"",""battery_health_percent"":86}"	true	
realme 14 pro plus 5g	TECH.PHONES	SMARTPHONE	"{""brand"":""REALME"",""mobile_network_generation"":""5G""}"	true	
чехол iphone	TECH.PHONE_ACCESSORIES		{}	false	phone accessory case
чехол айфон	TECH.PHONE_ACCESSORIES		{}	false	phone accessory case
защитное стекло iphone	TECH.PHONE_ACCESSORIES		{}	false	screen protector
пленка iphone	TECH.PHONE_ACCESSORIES		{}	false	screen protector
зарядка iphone	TECH.POWER_CHARGING_CABLES		{}	false	charger
кабель iphone	TECH.POWER_CHARGING_CABLES		{}	false	cable
power bank	TECH.POWER_CHARGING_CABLES		{}	false	power bank
аккумулятор iphone	TECH.PHONE_ACCESSORIES		{}	false	replacement part
дисплей iphone	TECH.PHONE_ACCESSORIES		{}	false	replacement part
airpods	TECH.AUDIO		{}	false	audio not phone
наушники для телефона	TECH.AUDIO		{}	false	audio not phone
apple watch	TECH.WEARABLES		{}	false	wearable
galaxy watch	TECH.WEARABLES		{}	false	wearable
ремешок apple watch	TECH.WEARABLES		{}	false	watch band
ipad	TECH.TABLETS_E_READERS		{}	false	tablet
планшет samsung	TECH.TABLETS_E_READERS		{}	false	tablet
ноутбук	TECH.COMPUTERS		{}	false	computer
macbook	TECH.COMPUTERS		{}	false	computer
камера canon	TECH.CAMERAS_DRONES		{}	false	camera
рация	TECH.OTHER_ELECTRONICS		{}	false	not phone
стационарный телефон	TECH.OTHER_ELECTRONICS		{}	false	landline
сим карта	TECH.PHONE_ACCESSORIES		{}	false	sim card/tool
phone card	TECH.PHONE_ACCESSORIES		{}	false	phone card
mixed lot cables	TECH.POWER_CHARGING_CABLES		{}	false	not phones
iphone новый	TECH.PHONES	SMARTPHONE	{}	true	
iphone б у	TECH.PHONES	SMARTPHONE	{}	true	
iphone 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
iphone 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
iphone разлочен	TECH.PHONES	SMARTPHONE	{}	true	
iphone 5g	TECH.PHONES	SMARTPHONE	{}	true	
iphone с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy новый	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy б у	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy разлочен	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy 5g	TECH.PHONES	SMARTPHONE	{}	true	
samsung galaxy с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
google pixel новый	TECH.PHONES	SMARTPHONE	{}	true	
google pixel б у	TECH.PHONES	SMARTPHONE	{}	true	
google pixel 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
google pixel 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
google pixel разлочен	TECH.PHONES	SMARTPHONE	{}	true	
google pixel 5g	TECH.PHONES	SMARTPHONE	{}	true	
google pixel с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi новый	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi б у	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi разлочен	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi 5g	TECH.PHONES	SMARTPHONE	{}	true	
xiaomi с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
redmi новый	TECH.PHONES	SMARTPHONE	{}	true	
redmi б у	TECH.PHONES	SMARTPHONE	{}	true	
redmi 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
redmi 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
redmi разлочен	TECH.PHONES	SMARTPHONE	{}	true	
redmi 5g	TECH.PHONES	SMARTPHONE	{}	true	
redmi с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
poco новый	TECH.PHONES	SMARTPHONE	{}	true	
poco б у	TECH.PHONES	SMARTPHONE	{}	true	
poco 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
poco 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
poco разлочен	TECH.PHONES	SMARTPHONE	{}	true	
poco 5g	TECH.PHONES	SMARTPHONE	{}	true	
poco с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
honor новый	TECH.PHONES	SMARTPHONE	{}	true	
honor б у	TECH.PHONES	SMARTPHONE	{}	true	
honor 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
honor 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
honor разлочен	TECH.PHONES	SMARTPHONE	{}	true	
honor 5g	TECH.PHONES	SMARTPHONE	{}	true	
honor с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
huawei новый	TECH.PHONES	SMARTPHONE	{}	true	
huawei б у	TECH.PHONES	SMARTPHONE	{}	true	
huawei 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
huawei 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
huawei разлочен	TECH.PHONES	SMARTPHONE	{}	true	
huawei 5g	TECH.PHONES	SMARTPHONE	{}	true	
huawei с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
oneplus новый	TECH.PHONES	SMARTPHONE	{}	true	
oneplus б у	TECH.PHONES	SMARTPHONE	{}	true	
oneplus 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
oneplus 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
oneplus разлочен	TECH.PHONES	SMARTPHONE	{}	true	
oneplus 5g	TECH.PHONES	SMARTPHONE	{}	true	
oneplus с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
oppo новый	TECH.PHONES	SMARTPHONE	{}	true	
oppo б у	TECH.PHONES	SMARTPHONE	{}	true	
oppo 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
oppo 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
oppo разлочен	TECH.PHONES	SMARTPHONE	{}	true	
oppo 5g	TECH.PHONES	SMARTPHONE	{}	true	
oppo с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
vivo новый	TECH.PHONES	SMARTPHONE	{}	true	
vivo б у	TECH.PHONES	SMARTPHONE	{}	true	
vivo 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
vivo 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
vivo разлочен	TECH.PHONES	SMARTPHONE	{}	true	
vivo 5g	TECH.PHONES	SMARTPHONE	{}	true	
vivo с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
realme новый	TECH.PHONES	SMARTPHONE	{}	true	
realme б у	TECH.PHONES	SMARTPHONE	{}	true	
realme 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
realme 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
realme разлочен	TECH.PHONES	SMARTPHONE	{}	true	
realme 5g	TECH.PHONES	SMARTPHONE	{}	true	
realme с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
nothing новый	TECH.PHONES	SMARTPHONE	{}	true	
nothing б у	TECH.PHONES	SMARTPHONE	{}	true	
nothing 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
nothing 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
nothing разлочен	TECH.PHONES	SMARTPHONE	{}	true	
nothing 5g	TECH.PHONES	SMARTPHONE	{}	true	
nothing с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
motorola новый	TECH.PHONES	SMARTPHONE	{}	true	
motorola б у	TECH.PHONES	SMARTPHONE	{}	true	
motorola 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
motorola 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
motorola разлочен	TECH.PHONES	SMARTPHONE	{}	true	
motorola 5g	TECH.PHONES	SMARTPHONE	{}	true	
motorola с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
nokia новый	TECH.PHONES	SMARTPHONE	{}	true	
nokia б у	TECH.PHONES	SMARTPHONE	{}	true	
nokia 128 гб	TECH.PHONES	SMARTPHONE	{}	true	
nokia 256 гб	TECH.PHONES	SMARTPHONE	{}	true	
nokia разлочен	TECH.PHONES	SMARTPHONE	{}	true	
nokia 5g	TECH.PHONES	SMARTPHONE	{}	true	
nokia с гарантией	TECH.PHONES	SMARTPHONE	{}	true	
