alias	lang	target_category	target_attribute	target_value	confidence	notes
z790aoruseliteax	ru-en	TECH.PC_COMPONENTS	model_name_text	Z790 AORUS Elite AX	0.84	
asus prime b760-plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Prime B760-Plus	0.84	
prime b760 plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Prime B760-Plus	0.84	
prime b760-plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Prime B760-Plus	0.84	
primeb760-plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Prime B760-Plus	0.84	
fury beast ddr5 32gb 6000 cl30	ru-en	TECH.PC_COMPONENTS	model_name_text	Fury Beast DDR5 32GB 6000 CL30	0.84	
furybeastddr532gb6000cl30	ru-en	TECH.PC_COMPONENTS	model_name_text	Fury Beast DDR5 32GB 6000 CL30	0.84	
kingston fury beast ddr5 32gb 6000 cl30	ru-en	TECH.PC_COMPONENTS	model_name_text	Fury Beast DDR5 32GB 6000 CL30	0.84	
corsair vengeance ddr5 32gb 6000 cl30	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance DDR5 32GB 6000 CL30	0.84	
vengeance ddr5 32gb 6000 cl30	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance DDR5 32GB 6000 CL30	0.84	
vengeanceddr532gb6000cl30	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance DDR5 32GB 6000 CL30	0.84	
g.skill trident z5 neo rgb 32gb ddr5-6000	ru-en	TECH.PC_COMPONENTS	model_name_text	Trident Z5 Neo RGB 32GB DDR5-6000	0.84	
trident z5 neo rgb 32gb ddr5 6000	ru-en	TECH.PC_COMPONENTS	model_name_text	Trident Z5 Neo RGB 32GB DDR5-6000	0.84	
trident z5 neo rgb 32gb ddr5-6000	ru-en	TECH.PC_COMPONENTS	model_name_text	Trident Z5 Neo RGB 32GB DDR5-6000	0.84	
tridentz5neorgb32gbddr5-6000	ru-en	TECH.PC_COMPONENTS	model_name_text	Trident Z5 Neo RGB 32GB DDR5-6000	0.84	
crucial pro ddr5 32gb 5600	ru-en	TECH.PC_COMPONENTS	model_name_text	Pro DDR5 32GB 5600	0.84	
pro ddr5 32gb 5600	ru-en	TECH.PC_COMPONENTS	model_name_text	Pro DDR5 32GB 5600	0.84	
proddr532gb5600	ru-en	TECH.PC_COMPONENTS	model_name_text	Pro DDR5 32GB 5600	0.84	
fury beast ddr4 16gb 3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Fury Beast DDR4 16GB 3200	0.84	
furybeastddr416gb3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Fury Beast DDR4 16GB 3200	0.84	
kingston fury beast ddr4 16gb 3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Fury Beast DDR4 16GB 3200	0.84	
corsair vengeance lpx 16gb ddr4-3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance LPX 16GB DDR4-3200	0.84	
vengeance lpx 16gb ddr4 3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance LPX 16GB DDR4-3200	0.84	
vengeance lpx 16gb ddr4-3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance LPX 16GB DDR4-3200	0.84	
vengeancelpx16gbddr4-3200	ru-en	TECH.PC_COMPONENTS	model_name_text	Vengeance LPX 16GB DDR4-3200	0.84	
corsair rm850x 850w 80+ gold	ru-en	TECH.PC_COMPONENTS	model_name_text	RM850x 850W 80+ Gold	0.84	
rm850x 850w 80+ gold	ru-en	TECH.PC_COMPONENTS	model_name_text	RM850x 850W 80+ Gold	0.84	
rm850x850w80+gold	ru-en	TECH.PC_COMPONENTS	model_name_text	RM850x 850W 80+ Gold	0.84	
focus gx 750 80+ gold	ru-en	TECH.PC_COMPONENTS	model_name_text	Focus GX-750 80+ Gold	0.84	
focus gx-750 80+ gold	ru-en	TECH.PC_COMPONENTS	model_name_text	Focus GX-750 80+ Gold	0.84	
focusgx-75080+gold	ru-en	TECH.PC_COMPONENTS	model_name_text	Focus GX-750 80+ Gold	0.84	
seasonic focus gx-750 80+ gold	ru-en	TECH.PC_COMPONENTS	model_name_text	Focus GX-750 80+ Gold	0.84	
be quiet! pure power 12 m 850w	ru-en	TECH.PC_COMPONENTS	model_name_text	Pure Power 12 M 850W	0.84	
pure power 12 m 850w	ru-en	TECH.PC_COMPONENTS	model_name_text	Pure Power 12 M 850W	0.84	
purepower12m850w	ru-en	TECH.PC_COMPONENTS	model_name_text	Pure Power 12 M 850W	0.84	
mag a850gl pcie5	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG A850GL PCIE5	0.84	
maga850glpcie5	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG A850GL PCIE5	0.84	
msi mag a850gl pcie5	ru-en	TECH.PC_COMPONENTS	model_name_text	MAG A850GL PCIE5	0.84	
deepcool px850g	ru-en	TECH.PC_COMPONENTS	model_name_text	PX850G	0.84	
px850g	ru-en	TECH.PC_COMPONENTS	model_name_text	PX850G	0.84	
fractal design north	ru-en	TECH.PC_COMPONENTS	model_name_text	North	0.84	
north	ru-en	TECH.PC_COMPONENTS	model_name_text	North	0.84	
h5 flow	ru-en	TECH.PC_COMPONENTS	model_name_text	H5 Flow	0.84	
h5flow	ru-en	TECH.PC_COMPONENTS	model_name_text	H5 Flow	0.84	
nzxt h5 flow	ru-en	TECH.PC_COMPONENTS	model_name_text	H5 Flow	0.84	
4000d airflow	ru-en	TECH.PC_COMPONENTS	model_name_text	4000D Airflow	0.84	
4000dairflow	ru-en	TECH.PC_COMPONENTS	model_name_text	4000D Airflow	0.84	
corsair 4000d airflow	ru-en	TECH.PC_COMPONENTS	model_name_text	4000D Airflow	0.84	
lian li o11 dynamic evo	ru-en	TECH.PC_COMPONENTS	model_name_text	O11 Dynamic EVO	0.84	
o11 dynamic evo	ru-en	TECH.PC_COMPONENTS	model_name_text	O11 Dynamic EVO	0.84	
o11dynamicevo	ru-en	TECH.PC_COMPONENTS	model_name_text	O11 Dynamic EVO	0.84	
cooler master masterbox nr200p	ru-en	TECH.PC_COMPONENTS	model_name_text	MasterBox NR200P	0.84	
masterbox nr200p	ru-en	TECH.PC_COMPONENTS	model_name_text	MasterBox NR200P	0.84	
masterboxnr200p	ru-en	TECH.PC_COMPONENTS	model_name_text	MasterBox NR200P	0.84	
nh d15	ru-en	TECH.PC_COMPONENTS	model_name_text	NH-D15	0.84	
nh-d15	ru-en	TECH.PC_COMPONENTS	model_name_text	NH-D15	0.84	
noctua nh-d15	ru-en	TECH.PC_COMPONENTS	model_name_text	NH-D15	0.84	
ak620	ru-en	TECH.PC_COMPONENTS	model_name_text	AK620	0.84	
deepcool ak620	ru-en	TECH.PC_COMPONENTS	model_name_text	AK620	0.84	
arctic liquid freezer iii 360	ru-en	TECH.PC_COMPONENTS	model_name_text	Liquid Freezer III 360	0.84	
liquid freezer iii 360	ru-en	TECH.PC_COMPONENTS	model_name_text	Liquid Freezer III 360	0.84	
liquidfreezeriii360	ru-en	TECH.PC_COMPONENTS	model_name_text	Liquid Freezer III 360	0.84	
corsair icue h150i elite	ru-en	TECH.PC_COMPONENTS	model_name_text	iCUE H150i Elite	0.84	
icue h150i elite	ru-en	TECH.PC_COMPONENTS	model_name_text	iCUE H150i Elite	0.84	
icueh150ielite	ru-en	TECH.PC_COMPONENTS	model_name_text	iCUE H150i Elite	0.84	
nf a12x25 pwm	ru-en	TECH.PC_COMPONENTS	model_name_text	NF-A12x25 PWM	0.84	
nf-a12x25 pwm	ru-en	TECH.PC_COMPONENTS	model_name_text	NF-A12x25 PWM	0.84	
nf-a12x25pwm	ru-en	TECH.PC_COMPONENTS	model_name_text	NF-A12x25 PWM	0.84	
noctua nf-a12x25 pwm	ru-en	TECH.PC_COMPONENTS	model_name_text	NF-A12x25 PWM	0.84	
arctic p12 pwm pst	ru-en	TECH.PC_COMPONENTS	model_name_text	P12 PWM PST	0.84	
p12 pwm pst	ru-en	TECH.PC_COMPONENTS	model_name_text	P12 PWM PST	0.84	
p12pwmpst	ru-en	TECH.PC_COMPONENTS	model_name_text	P12 PWM PST	0.84	
lian li uni fan sl120 v2	ru-en	TECH.PC_COMPONENTS	model_name_text	UNI FAN SL120 V2	0.84	
uni fan sl120 v2	ru-en	TECH.PC_COMPONENTS	model_name_text	UNI FAN SL120 V2	0.84	
unifansl120v2	ru-en	TECH.PC_COMPONENTS	model_name_text	UNI FAN SL120 V2	0.84	
arctic mx-6 4g	ru-en	TECH.PC_COMPONENTS	model_name_text	MX-6 4g	0.84	
mx 6 4g	ru-en	TECH.PC_COMPONENTS	model_name_text	MX-6 4g	0.84	
mx-6 4g	ru-en	TECH.PC_COMPONENTS	model_name_text	MX-6 4g	0.84	
mx-64g	ru-en	TECH.PC_COMPONENTS	model_name_text	MX-6 4g	0.84	
kryonaut 1g	ru-en	TECH.PC_COMPONENTS	model_name_text	Kryonaut 1g	0.84	
kryonaut1g	ru-en	TECH.PC_COMPONENTS	model_name_text	Kryonaut 1g	0.84	
thermal grizzly kryonaut 1g	ru-en	TECH.PC_COMPONENTS	model_name_text	Kryonaut 1g	0.84	
elgato game capture 4k60 pro mk.2	ru-en	TECH.PC_COMPONENTS	model_name_text	Game Capture 4K60 Pro MK.2	0.84	
game capture 4k60 pro mk 2	ru-en	TECH.PC_COMPONENTS	model_name_text	Game Capture 4K60 Pro MK.2	0.84	
game capture 4k60 pro mk.2	ru-en	TECH.PC_COMPONENTS	model_name_text	Game Capture 4K60 Pro MK.2	0.84	
gamecapture4k60promk.2	ru-en	TECH.PC_COMPONENTS	model_name_text	Game Capture 4K60 Pro MK.2	0.84	
avermedia live gamer 4k gc573	ru-en	TECH.PC_COMPONENTS	model_name_text	Live Gamer 4K GC573	0.84	
live gamer 4k gc573	ru-en	TECH.PC_COMPONENTS	model_name_text	Live Gamer 4K GC573	0.84	
livegamer4kgc573	ru-en	TECH.PC_COMPONENTS	model_name_text	Live Gamer 4K GC573	0.84	
creative sound blaster ae-5 plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Sound Blaster AE-5 Plus	0.84	
sound blaster ae 5 plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Sound Blaster AE-5 Plus	0.84	
sound blaster ae-5 plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Sound Blaster AE-5 Plus	0.84	
soundblasterae-5plus	ru-en	TECH.PC_COMPONENTS	model_name_text	Sound Blaster AE-5 Plus	0.84	
asus xonar se	ru-en	TECH.PC_COMPONENTS	model_name_text	Xonar SE	0.84	
xonar se	ru-en	TECH.PC_COMPONENTS	model_name_text	Xonar SE	0.84	
xonarse	ru-en	TECH.PC_COMPONENTS	model_name_text	Xonar SE	0.84	
archer tx3000e	ru-en	TECH.PC_COMPONENTS	model_name_text	Archer TX3000E	0.84	
archertx3000e	ru-en	TECH.PC_COMPONENTS	model_name_text	Archer TX3000E	0.84	
tp-link archer tx3000e	ru-en	TECH.PC_COMPONENTS	model_name_text	Archer TX3000E	0.84	
asus pce-axe58bt	ru-en	TECH.PC_COMPONENTS	model_name_text	PCE-AXE58BT	0.84	
pce axe58bt	ru-en	TECH.PC_COMPONENTS	model_name_text	PCE-AXE58BT	0.84	
pce-axe58bt	ru-en	TECH.PC_COMPONENTS	model_name_text	PCE-AXE58BT	0.84	
intel x540-t2	ru-en	TECH.PC_COMPONENTS	model_name_text	X540-T2	0.84	
x540 t2	ru-en	TECH.PC_COMPONENTS	model_name_text	X540-T2	0.84	
x540-t2	ru-en	TECH.PC_COMPONENTS	model_name_text	X540-T2	0.84	
asus hyper m.2 x16 gen 4 card	ru-en	TECH.PC_COMPONENTS	model_name_text	Hyper M.2 x16 Gen 4 Card	0.84	
hyper m 2 x16 gen 4 card	ru-en	TECH.PC_COMPONENTS	model_name_text	Hyper M.2 x16 Gen 4 Card	0.84	
hyper m.2 x16 gen 4 card	ru-en	TECH.PC_COMPONENTS	model_name_text	Hyper M.2 x16 Gen 4 Card	0.84	
hyperm.2x16gen4card	ru-en	TECH.PC_COMPONENTS	model_name_text	Hyper M.2 x16 Gen 4 Card	0.84	
4 port usb 3 0 pcie card	ru-en	TECH.PC_COMPONENTS	model_name_text	4-Port USB 3.0 PCIe Card	0.84	
4-port usb 3.0 pcie card	ru-en	TECH.PC_COMPONENTS	model_name_text	4-Port USB 3.0 PCIe Card	0.84	
4-portusb3.0pciecard	ru-en	TECH.PC_COMPONENTS	model_name_text	4-Port USB 3.0 PCIe Card	0.84	
startech 4-port usb 3.0 pcie card	ru-en	TECH.PC_COMPONENTS	model_name_text	4-Port USB 3.0 PCIe Card	0.84	
