alias	brand	family	model_code	audio_type	priority	locale	notes
MPK Mini MK3	AKAI	MPK	MPK_MINI_MK3	AUDIO_ACCESSORY	70	ru/en	generated_head_alias
mpk mini mk3	AKAI	MPK	MPK_MINI_MK3	AUDIO_ACCESSORY	70	ru/en	generated_head_alias
mpkminimk3	AKAI	MPK	MPK_MINI_MK3	AUDIO_ACCESSORY	70	ru/en	generated_head_alias
Blue Yeti	LOGITECH	BLUE	YETI	MICROPHONE	70	ru/en	generated_head_alias
blue yeti	LOGITECH	BLUE	YETI	MICROPHONE	70	ru/en	generated_head_alias
blueyeti	LOGITECH	BLUE	YETI	MICROPHONE	70	ru/en	generated_head_alias
QuadCast	HYPERX	QUADCAST	QUADCAST	MICROPHONE	70	ru/en	generated_head_alias
quadcast	HYPERX	QUADCAST	QUADCAST	MICROPHONE	70	ru/en	generated_head_alias
Arctis Nova Pro	STEELSERIES	ARCTIS	ARCTIS_NOVA_PRO	HEADSET	70	ru/en	generated_head_alias
arctis nova pro	STEELSERIES	ARCTIS	ARCTIS_NOVA_PRO	HEADSET	70	ru/en	generated_head_alias
arctisnovapro	STEELSERIES	ARCTIS	ARCTIS_NOVA_PRO	HEADSET	70	ru/en	generated_head_alias
G Pro X Wireless	LOGITECH_G	PRO_X	PRO_X_WIRELESS	HEADSET	70	ru/en	generated_head_alias
g pro x wireless	LOGITECH_G	PRO_X	PRO_X_WIRELESS	HEADSET	70	ru/en	generated_head_alias
gproxwireless	LOGITECH_G	PRO_X	PRO_X_WIRELESS	HEADSET	70	ru/en	generated_head_alias
