alias	locale	target_kind	target_code	confidence	priority	negative_context	notes_ru
возврат есть	ru	value	return_policy_status:RETURN_AVAILABLE	0.89	70		Alias for return_policy_status=RETURN_AVAILABLE
возврата нет	ru	value	return_policy_status:NO_RETURN	0.89	70		Alias for return_policy_status=NO_RETURN
обмена нет	ru	value	return_policy_status:NO_RETURN	0.89	70		Alias for return_policy_status=NO_RETURN
только обмен	ru	value	return_policy_status:EXCHANGE_ONLY	0.89	70		Alias for return_policy_status=EXCHANGE_ONLY
не указано	ru	value	return_policy_status:UNKNOWN	0.89	70		Alias for return_policy_status=UNKNOWN
premium refurb	ru	value	refurbishment_grade:PREMIUM	0.89	70		Alias for refurbishment_grade=PREMIUM
идеальный реф	ru	value	refurbishment_grade:PREMIUM	0.89	70		Alias for refurbishment_grade=PREMIUM
grade a	ru	value	refurbishment_grade:A	0.89	70		Alias for refurbishment_grade=A
реф а	ru	value	refurbishment_grade:A	0.89	70		Alias for refurbishment_grade=A
grade b	ru	value	refurbishment_grade:B	0.89	70		Alias for refurbishment_grade=B
реф b	ru	value	refurbishment_grade:B	0.89	70		Alias for refurbishment_grade=B
grade c	ru	value	refurbishment_grade:C	0.89	70		Alias for refurbishment_grade=C
реф c	ru	value	refurbishment_grade:C	0.89	70		Alias for refurbishment_grade=C
не указано	ru	value	refurbishment_grade:UNKNOWN	0.89	70		Alias for refurbishment_grade=UNKNOWN
factory	ru	value	refurbishment_provider:MANUFACTURER	0.89	70		Alias for refurbishment_provider=MANUFACTURER
manufacturer	ru	value	refurbishment_provider:MANUFACTURER	0.89	70		Alias for refurbishment_provider=MANUFACTURER
авторизованный сервис	ru	value	refurbishment_provider:AUTHORIZED_SERVICE	0.89	70		Alias for refurbishment_provider=AUTHORIZED_SERVICE
seller	ru	value	refurbishment_provider:SELLER	0.89	70		Alias for refurbishment_provider=SELLER
third party	ru	value	refurbishment_provider:THIRD_PARTY	0.89	70		Alias for refurbishment_provider=THIRD_PARTY
не указано	ru	value	refurbishment_provider:UNKNOWN	0.89	70		Alias for refurbishment_provider=UNKNOWN
полный комплект	ru	value	accessory_completeness_grade:FULL_ORIGINAL	0.89	70		Alias for accessory_completeness_grade=FULL_ORIGINAL
все родное	ru	value	accessory_completeness_grade:FULL_ORIGINAL	0.89	70		Alias for accessory_completeness_grade=FULL_ORIGINAL
частичный комплект	ru	value	accessory_completeness_grade:PARTIAL_ORIGINAL	0.89	70		Alias for accessory_completeness_grade=PARTIAL_ORIGINAL
не все родное	ru	value	accessory_completeness_grade:MIXED	0.89	70		Alias for accessory_completeness_grade=MIXED
часть неоригинал	ru	value	accessory_completeness_grade:MIXED	0.89	70		Alias for accessory_completeness_grade=MIXED
только девайс	ru	value	accessory_completeness_grade:DEVICE_ONLY	0.89	70		Alias for accessory_completeness_grade=DEVICE_ONLY
только устройство	ru	value	accessory_completeness_grade:DEVICE_ONLY	0.89	70		Alias for accessory_completeness_grade=DEVICE_ONLY
не указано	ru	value	accessory_completeness_grade:UNKNOWN	0.89	70		Alias for accessory_completeness_grade=UNKNOWN
sealed	ru	value	packaging_condition:SEALED	0.89	70		Alias for packaging_condition=SEALED
в пленке	ru	value	packaging_condition:SEALED	0.89	70		Alias for packaging_condition=SEALED
открыта	ru	value	packaging_condition:OPENED_GOOD	0.89	70		Alias for packaging_condition=OPENED_GOOD
коробка норм	ru	value	packaging_condition:OPENED_GOOD	0.89	70		Alias for packaging_condition=OPENED_GOOD
мятая	ru	value	packaging_condition:DAMAGED	0.89	70		Alias for packaging_condition=DAMAGED
порвана	ru	value	packaging_condition:DAMAGED	0.89	70		Alias for packaging_condition=DAMAGED
без упаковки	ru	value	packaging_condition:NO_PACKAGING	0.89	70		Alias for packaging_condition=NO_PACKAGING
не указано	ru	value	packaging_condition:UNKNOWN	0.89	70		Alias for packaging_condition=UNKNOWN
подробно	ru	value	seller_notes_quality:HIGH	0.89	70		Alias for seller_notes_quality=HIGH
средне	ru	value	seller_notes_quality:MEDIUM	0.89	70		Alias for seller_notes_quality=MEDIUM
мало информации	ru	value	seller_notes_quality:LOW	0.89	70		Alias for seller_notes_quality=LOW
нет данных	ru	value	seller_notes_quality:INSUFFICIENT	0.89	70		Alias for seller_notes_quality=INSUFFICIENT
text	ru	value	evidence_level:EXPLICIT_TEXT	0.89	70		Alias for evidence_level=EXPLICIT_TEXT
ocr	ru	value	evidence_level:OCR_TEXT	0.89	70		Alias for evidence_level=OCR_TEXT
image	ru	value	evidence_level:IMAGE_CONFIRMED	0.89	70		Alias for evidence_level=IMAGE_CONFIRMED
inferred	ru	value	evidence_level:INFERRED_LOW_CONFIDENCE	0.89	70		Alias for evidence_level=INFERRED_LOW_CONFIDENCE
unknown	ru	value	evidence_level:UNKNOWN	0.89	70		Alias for evidence_level=UNKNOWN
title	ru	value	normalization_source:TITLE	0.89	70		Alias for normalization_source=TITLE
description	ru	value	normalization_source:DESCRIPTION	0.89	70		Alias for normalization_source=DESCRIPTION
fields	ru	value	normalization_source:SELLER_FIELDS	0.89	70		Alias for normalization_source=SELLER_FIELDS
ocr	ru	value	normalization_source:OCR	0.89	70		Alias for normalization_source=OCR
image	ru	value	normalization_source:IMAGE	0.89	70		Alias for normalization_source=IMAGE
runtime	ru	value	normalization_source:RUNTIME_CANDIDATE	0.89	70		Alias for normalization_source=RUNTIME_CANDIDATE
с коробкой	ru	value	original_box:YES_ORIGINAL	0.94	85		
без коробки	ru	value	original_box:NO	0.94	85		
с чеком	ru	value	receipt_available:YES	0.93	84		
без чека	ru	value	receipt_available:NO	0.93	84		
полный комплект	ru	value	accessory_completeness_grade:FULL_ORIGINAL	0.94	86		
только устройство	ru	value	accessory_completeness_grade:DEVICE_ONLY	0.94	86		
есть гарантия	ru	value	warranty_status:MANUFACTURER_WARRANTY_ACTIVE	0.78	65	нет гарантии|без гарантии	Ambiguous provider
на гарантии	ru	value	warranty_status:MANUFACTURER_WARRANTY_ACTIVE	0.86	70	без гарантии	
серый импорт	ru	value	purchase_channel:PRIVATE_IMPORT	0.90	78		
ростест	ru	value	country_version:RU_VERSION	0.88	78		
eac	ru	value	country_version:RU_VERSION	0.88	78		
евроверсия	ru	value	country_version:EU_VERSION	0.90	78		
китаец	ru	value	country_version:CN_VERSION	0.80	70	человек|продавец	Tech-market slang
американец	ru	value	country_version:US_VERSION	0.75	70	человек|продавец	Tech-market slang
витринный образец	ru	value	condition:OPEN_BOX	0.84	80		
после ремонта	ru	value	repair_history:UNKNOWN	0.62	50		Requires seller details
не вскрывался	ru	value	condition:NEW	0.91	82		
донор	ru	value	condition:USED_FOR_PARTS	0.91	82		
под восстановление	ru	value	condition:USED_FOR_PARTS	0.82	72		
