query	expected_categoryCode	expected_brand	expected_family	expected_model	expected_resolution	notes
13mini	TECH.PHONES	APPLE	IPHONE	iPhone 13 mini	model_candidate_or_resolved	identity search hardening smoke
13 mini	TECH.PHONES	APPLE	IPHONE	iPhone 13 mini	model_candidate_or_resolved	identity search hardening smoke
айфон 13	TECH.PHONES	APPLE	IPHONE	iPhone 13 mini	model_candidate_or_resolved	identity search hardening smoke
14plus	TECH.PHONES	APPLE	IPHONE	iPhone 14 Plus	model_candidate_or_resolved	identity search hardening smoke
14 plus	TECH.PHONES	APPLE	IPHONE	iPhone 14 Plus	model_candidate_or_resolved	identity search hardening smoke
айфон 14	TECH.PHONES	APPLE	IPHONE	iPhone 14 Plus	model_candidate_or_resolved	identity search hardening smoke
айфон 3	TECH.PHONES	APPLE	IPHONE	iPhone SE (3rd generation)	model_candidate_or_resolved	identity search hardening smoke
iphone 3	TECH.PHONES	APPLE	IPHONE	iPhone SE (3rd generation)	model_candidate_or_resolved	identity search hardening smoke
айфон se	TECH.PHONES	APPLE	IPHONE	iPhone SE (3rd generation)	model_candidate_or_resolved	identity search hardening smoke
rogphone8pro	TECH.PHONES	ASUS	ROG_PHONE	ASUS ROG Phone 8 Pro	model_candidate_or_resolved	identity search hardening smoke
rog phone 8 pro	TECH.PHONES	ASUS	ROG_PHONE	ASUS ROG Phone 8 Pro	model_candidate_or_resolved	identity search hardening smoke
asusrogphone8pro	TECH.PHONES	ASUS	ROG_PHONE	ASUS ROG Phone 8 Pro	model_candidate_or_resolved	identity search hardening smoke
iPhone 13 128	TECH.PHONES	APPLE	IPHONE	iPhone 13	model_candidate_with_storage_hint	variant hint query
iPhone 15 128	TECH.PHONES	APPLE	IPHONE	iPhone 15	model_candidate_with_storage_hint	variant hint query
iPhone 15 Pro 128	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro	model_candidate_with_storage_hint	variant hint query
iPhone 15 Pro Max 256	TECH.PHONES	APPLE	IPHONE	iPhone 15 Pro Max	model_candidate_with_storage_hint	variant hint query
iPhone 16 128	TECH.PHONES	APPLE	IPHONE	iPhone 16	model_candidate_with_storage_hint	variant hint query
iPhone 16 Pro 128	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro	model_candidate_with_storage_hint	variant hint query
iPhone 16 Pro Max 256	TECH.PHONES	APPLE	IPHONE	iPhone 16 Pro Max	model_candidate_with_storage_hint	variant hint query
iPhone 17 256	TECH.PHONES	APPLE	IPHONE	iPhone 17	model_candidate_with_storage_hint	variant hint query
iPhone 17 Pro 256	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro	model_candidate_with_storage_hint	variant hint query
iPhone 17 Pro Max 256	TECH.PHONES	APPLE	IPHONE	iPhone 17 Pro Max	model_candidate_with_storage_hint	variant hint query
Pixel 9 Pro 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro	model_candidate_with_storage_hint	variant hint query
Pixel 9 Pro XL 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 9 Pro XL	model_candidate_with_storage_hint	variant hint query
Pixel 10 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 10	model_candidate_with_storage_hint	variant hint query
Pixel 10 Pro 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro	model_candidate_with_storage_hint	variant hint query
Pixel 10 Pro XL 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro XL	model_candidate_with_storage_hint	variant hint query
Redmi Note 14 Pro 5G 128	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro 5G	model_candidate_with_storage_hint	variant hint query
Redmi Note 14 Pro+ 5G 256	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 Pro+ 5G	model_candidate_with_storage_hint	variant hint query
Galaxy A55 5G 128	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A55 5G	model_candidate_with_storage_hint	variant hint query
Galaxy S24 128	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24	model_candidate_with_storage_hint	variant hint query
Galaxy S24 Ultra 256	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24 Ultra	model_candidate_with_storage_hint	variant hint query
Galaxy A56 5G 128	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A56 5G	model_candidate_with_storage_hint	variant hint query
Galaxy S25 128	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25	model_candidate_with_storage_hint	variant hint query
Galaxy S25 Ultra 256	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25 Ultra	model_candidate_with_storage_hint	variant hint query
iPhone 12 64	TECH.PHONES	APPLE	IPHONE	iPhone 12	model_candidate_with_storage_hint	variant hint query
iPhone 13 Pro 128	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro	model_candidate_with_storage_hint	variant hint query
iPhone 13 Pro Max 128	TECH.PHONES	APPLE	IPHONE	iPhone 13 Pro Max	model_candidate_with_storage_hint	variant hint query
iPhone 14 128	TECH.PHONES	APPLE	IPHONE	iPhone 14	model_candidate_with_storage_hint	variant hint query
iPhone 14 Pro 128	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro	model_candidate_with_storage_hint	variant hint query
iPhone 14 Pro Max 128	TECH.PHONES	APPLE	IPHONE	iPhone 14 Pro Max	model_candidate_with_storage_hint	variant hint query
iPhone 15 Plus 128	TECH.PHONES	APPLE	IPHONE	iPhone 15 Plus	model_candidate_with_storage_hint	variant hint query
iPhone 16 Plus 128	TECH.PHONES	APPLE	IPHONE	iPhone 16 Plus	model_candidate_with_storage_hint	variant hint query
iPhone 16e 128	TECH.PHONES	APPLE	IPHONE	iPhone 16e	model_candidate_with_storage_hint	variant hint query
iPhone Air 256	TECH.PHONES	APPLE	IPHONE	iPhone Air	model_candidate_with_storage_hint	variant hint query
iPhone 17e 256	TECH.PHONES	APPLE	IPHONE	iPhone 17e	model_candidate_with_storage_hint	variant hint query
Pixel 8 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 8	model_candidate_with_storage_hint	variant hint query
Pixel 8 Pro 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 8 Pro	model_candidate_with_storage_hint	variant hint query
Pixel 8a 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 8a	model_candidate_with_storage_hint	variant hint query
Pixel 9 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 9	model_candidate_with_storage_hint	variant hint query
Pixel 10 Pro Fold 256	TECH.PHONES	GOOGLE	PIXEL	Pixel 10 Pro Fold	model_candidate_with_storage_hint	variant hint query
Pixel 9a 128	TECH.PHONES	GOOGLE	PIXEL	Pixel 9a	model_candidate_with_storage_hint	variant hint query
Honor 400 256	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400	model_candidate_with_storage_hint	variant hint query
Honor 400 Pro 256	TECH.PHONES	HONOR	HONOR_NUMBER	Honor 400 Pro	model_candidate_with_storage_hint	variant hint query
Honor Magic7 Pro 256	TECH.PHONES	HONOR	HONOR_MAGIC	Honor Magic7 Pro	model_candidate_with_storage_hint	variant hint query
Huawei Mate 70 Pro 256	TECH.PHONES	HUAWEI	HUAWEI_MATE	Huawei Mate 70 Pro	model_candidate_with_storage_hint	variant hint query
Huawei Pura 70 Ultra 512	TECH.PHONES	HUAWEI	HUAWEI_P	Huawei Pura 70 Ultra	model_candidate_with_storage_hint	variant hint query
Nothing Phone (3) 256	TECH.PHONES	NOTHING	NOTHING_PHONE	Nothing Phone (3)	model_candidate_with_storage_hint	variant hint query
OnePlus 12 256	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 12	model_candidate_with_storage_hint	variant hint query
OnePlus 13 256	TECH.PHONES	ONEPLUS	ONEPLUS_NUMBER	OnePlus 13	model_candidate_with_storage_hint	variant hint query
OPPO Find X8 Pro 256	TECH.PHONES	OPPO	OPPO_FIND	OPPO Find X8 Pro	model_candidate_with_storage_hint	variant hint query
POCO F6 256	TECH.PHONES	POCO	POCO_F	POCO F6	model_candidate_with_storage_hint	variant hint query
POCO F6 Pro 256	TECH.PHONES	POCO	POCO_F	POCO F6 Pro	model_candidate_with_storage_hint	variant hint query
POCO X6 Pro 256	TECH.PHONES	POCO	POCO_X	POCO X6 Pro	model_candidate_with_storage_hint	variant hint query
POCO F7 256	TECH.PHONES	POCO	POCO_F	POCO F7	model_candidate_with_storage_hint	variant hint query
POCO F7 Pro 256	TECH.PHONES	POCO	POCO_F	POCO F7 Pro	model_candidate_with_storage_hint	variant hint query
POCO X7 Pro 256	TECH.PHONES	POCO	POCO_X	POCO X7 Pro	model_candidate_with_storage_hint	variant hint query
realme GT 7 Pro 256	TECH.PHONES	REALME	REALME_GT	realme GT 7 Pro	model_candidate_with_storage_hint	variant hint query
Redmi Note 13 Pro 5G 128	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro 5G	model_candidate_with_storage_hint	variant hint query
Redmi Note 13 Pro+ 5G 256	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 13 Pro+ 5G	model_candidate_with_storage_hint	variant hint query
Redmi Note 14 5G 128	TECH.PHONES	REDMI	REDMI_NOTE	Redmi Note 14 5G	model_candidate_with_storage_hint	variant hint query
Galaxy A54 5G 128	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A54 5G	model_candidate_with_storage_hint	variant hint query
Galaxy S23 128	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23	model_candidate_with_storage_hint	variant hint query
Galaxy S23 Ultra 256	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S23 Ultra	model_candidate_with_storage_hint	variant hint query
Galaxy A35 5G 128	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A35 5G	model_candidate_with_storage_hint	variant hint query
Galaxy S24+ 256	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S24+	model_candidate_with_storage_hint	variant hint query
Galaxy Z Flip6 256	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Flip6	model_candidate_with_storage_hint	variant hint query
Galaxy Z Fold6 256	TECH.PHONES	SAMSUNG	GALAXY_Z	Galaxy Z Fold6	model_candidate_with_storage_hint	variant hint query
Galaxy A36 5G 128	TECH.PHONES	SAMSUNG	GALAXY_A	Galaxy A36 5G	model_candidate_with_storage_hint	variant hint query
Galaxy S25+ 256	TECH.PHONES	SAMSUNG	GALAXY_S	Galaxy S25+	model_candidate_with_storage_hint	variant hint query
vivo X200 Pro 256	TECH.PHONES	VIVO	VIVO_X	vivo X200 Pro	model_candidate_with_storage_hint	variant hint query
Xiaomi 14 Ultra 256	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 14 Ultra	model_candidate_with_storage_hint	variant hint query
Xiaomi 14T Pro 256	TECH.PHONES	XIAOMI	XIAOMI_T	Xiaomi 14T Pro	model_candidate_with_storage_hint	variant hint query
Xiaomi 15 256	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15	model_candidate_with_storage_hint	variant hint query
Xiaomi 15 Ultra 256	TECH.PHONES	XIAOMI	XIAOMI_NUMBER	Xiaomi 15 Ultra	model_candidate_with_storage_hint	variant hint query
