alias_ru	canonical_type	canonical_code	confidence	route_hint	notes_ru
другое	heel_type	OTHER	0.85	FASH.SHOES	
other	heel_type	OTHER	0.85	FASH.SHOES	
круглый нос	toe_shape	ROUND	0.85	FASH.SHOES	
round toe	toe_shape	ROUND	0.85	FASH.SHOES	
острый нос	toe_shape	POINTED	0.85	FASH.SHOES	
pointed toe	toe_shape	POINTED	0.85	FASH.SHOES	
квадратный нос	toe_shape	SQUARE	0.85	FASH.SHOES	
square toe	toe_shape	SQUARE	0.85	FASH.SHOES	
миндалевидный нос	toe_shape	ALMOND	0.85	FASH.SHOES	
almond toe	toe_shape	ALMOND	0.85	FASH.SHOES	
открытый нос	toe_shape	OPEN_TOE	0.85	FASH.SHOES	
open toe	toe_shape	OPEN_TOE	0.85	FASH.SHOES	
закрытый нос	toe_shape	CLOSED_TOE	0.85	FASH.SHOES	
closed toe	toe_shape	CLOSED_TOE	0.85	FASH.SHOES	
нет	orthopedic_feature	NONE	0.85	FASH.SHOES	
без ортопедии	orthopedic_feature	NONE	0.85	FASH.SHOES	
поддержка свода	orthopedic_feature	ARCH_SUPPORT	0.85	FASH.SHOES	
arch support	orthopedic_feature	ARCH_SUPPORT	0.85	FASH.SHOES	
ортопедическая стелька	orthopedic_feature	ORTHOPEDIC_INSOLE	0.85	FASH.SHOES	
orthopedic insole	orthopedic_feature	ORTHOPEDIC_INSOLE	0.85	FASH.SHOES	
жесткий задник	orthopedic_feature	HARD_HEEL_COUNTER	0.85	FASH.SHOES	
жёсткий задник	orthopedic_feature	HARD_HEEL_COUNTER	0.85	FASH.SHOES	
анатомическая стелька	orthopedic_feature	ANATOMIC_FOOTBED	0.85	FASH.SHOES	
anatomic footbed	orthopedic_feature	ANATOMIC_FOOTBED	0.85	FASH.SHOES	
супинатор	orthopedic_feature	SUPINATOR	0.85	FASH.SHOES	
гибкая подошва	orthopedic_feature	EXTRA_FLEXIBLE_SOLE	0.85	FASH.SHOES	
flexible sole	orthopedic_feature	EXTRA_FLEXIBLE_SOLE	0.85	FASH.SHOES	
узкая колодка	width_fit	NARROW	0.85	FASH.SHOES	
narrow	width_fit	NARROW	0.85	FASH.SHOES	
стандартная колодка	width_fit	STANDARD	0.85	FASH.SHOES	
regular	width_fit	STANDARD	0.85	FASH.SHOES	
широкая колодка	width_fit	WIDE	0.85	FASH.SHOES	
wide	width_fit	WIDE	0.85	FASH.SHOES	
очень широкая колодка	width_fit	EXTRA_WIDE	0.85	FASH.SHOES	
extra wide	width_fit	EXTRA_WIDE	0.85	FASH.SHOES	
eu	size_system	EU	0.85	FASH.SHOES	
eur	size_system	EU	0.85	FASH.SHOES	
евро	size_system	EU	0.85	FASH.SHOES	
европейский	size_system	EU	0.85	FASH.SHOES	
ru	size_system	RU	0.85	FASH.SHOES	
русский	size_system	RU	0.85	FASH.SHOES	
российский	size_system	RU	0.85	FASH.SHOES	
us	size_system	US	0.85	FASH.SHOES	
американский	size_system	US	0.85	FASH.SHOES	
uk	size_system	UK	0.85	FASH.SHOES	
британский	size_system	UK	0.85	FASH.SHOES	
см	size_system	CM	0.85	FASH.SHOES	
cm	size_system	CM	0.85	FASH.SHOES	
mondo	size_system	CM	0.85	FASH.SHOES	
брендовая сетка	size_system	BRAND	0.85	FASH.SHOES	
brand size	size_system	BRAND	0.85	FASH.SHOES	
nike	brand	Nike	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
adidas	brand	Adidas	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
puma	brand	Puma	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
reebok	brand	Reebok	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
new balance	brand	New Balance	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
asics	brand	Asics	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
ecco	brand	Ecco	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
geox	brand	Geox	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
reima	brand	Reima	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
zara	brand	Zara	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
h&m	brand	H&M	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
mango	brand	Mango	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
bershka	brand	Bershka	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
massimo dutti	brand	Massimo Dutti	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
ralf ringer	brand	Ralf Ringer	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
kari	brand	Kari	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
котофей	brand	Котофей	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
kapika	brand	Kapika	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
demix	brand	Demix	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
skechers	brand	Skechers	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
salomon	brand	Salomon	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
merrell	brand	Merrell	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
timberland	brand	Timberland	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
dr. martens	brand	Dr. Martens	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
crocs	brand	Crocs	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
vans	brand	Vans	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
converse	brand	Converse	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
jordan	brand	Jordan	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
ugg	brand	UGG	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
tamaris	brand	Tamaris	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
respect	brand	Respect	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
tervolina	brand	Tervolina	0.95	FASH.SHOES	brand-aware dictionary seed; допускается raw brand вне словаря
air force 1	model_name_text	air force 1	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
af1	model_name_text	af1	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
samba	model_name_text	samba	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
gazelle	model_name_text	gazelle	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
ultraboost	model_name_text	ultraboost	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
superstar	model_name_text	superstar	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
air max	model_name_text	air max	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
jordan 1	model_name_text	jordan 1	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
old skool	model_name_text	old skool	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
classic leather	model_name_text	classic leather	0.70	FASH.SHOES	сохранять как текст модели; не требовать curated model_id
футболка	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
майка	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
платье	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
юбка	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
брюки	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
джинсы	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
куртка	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
пальто	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
рубашка	route_negative_guard	FASH.APPAREL_COMMON	0.98	FASH.APPAREL_COMMON	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
рюкзак	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
сумка	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
кошелек	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
кошелёк	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
кардхолдер	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
чемодан	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
клатч	route_negative_guard	FASH.BAGS	0.98	FASH.BAGS	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
ремень	route_negative_guard	FASH.ACCESSORIES	0.98	FASH.ACCESSORIES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
шарф	route_negative_guard	FASH.ACCESSORIES	0.98	FASH.ACCESSORIES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
шапка	route_negative_guard	FASH.ACCESSORIES	0.98	FASH.ACCESSORIES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
перчатки	route_negative_guard	FASH.ACCESSORIES	0.98	FASH.ACCESSORIES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
очки	route_negative_guard	FASH.ACCESSORIES	0.98	FASH.ACCESSORIES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
галстук	route_negative_guard	FASH.ACCESSORIES	0.98	FASH.ACCESSORIES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
apple watch	route_negative_guard	TECH.WEARABLES	0.98	TECH.WEARABLES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
смарт часы	route_negative_guard	TECH.WEARABLES	0.98	TECH.WEARABLES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
смарт-часы	route_negative_guard	TECH.WEARABLES	0.98	TECH.WEARABLES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
фитнес браслет	route_negative_guard	TECH.WEARABLES	0.98	TECH.WEARABLES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
умные часы	route_negative_guard	TECH.WEARABLES	0.98	TECH.WEARABLES	Не маршрутизировать в FASH.SHOES без сильного обувного head noun.
размер	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
р-р	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
рр	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
size	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
eur	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
eu	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
разм	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
длина стельки	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
стелька	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
длина стопы	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
см	attribute	size_eu/raw_size_text/foot_length_cm	0.75	FASH.SHOES	Использовать size_policy для нормализации.
