alias	target_attribute	target_value	lang	weight	guard	notes
60 герц	refresh_rate_hz	60HZ	ru	1.0		value_alias
75 гц	refresh_rate_hz	75HZ	ru	1.0		value_alias
75hz	refresh_rate_hz	75HZ	ru	1.0		value_alias
75 герц	refresh_rate_hz	75HZ	ru	1.0		value_alias
90 гц	refresh_rate_hz	90HZ	ru	1.0		value_alias
90hz	refresh_rate_hz	90HZ	ru	1.0		value_alias
90 герц	refresh_rate_hz	90HZ	ru	1.0		value_alias
100 гц	refresh_rate_hz	100HZ	ru	1.0		value_alias
100hz	refresh_rate_hz	100HZ	ru	1.0		value_alias
100 герц	refresh_rate_hz	100HZ	ru	1.0		value_alias
120 гц	refresh_rate_hz	120HZ	ru	1.0		value_alias
120hz	refresh_rate_hz	120HZ	ru	1.0		value_alias
120 герц	refresh_rate_hz	120HZ	ru	1.0		value_alias
144 гц	refresh_rate_hz	144HZ	ru	1.0		value_alias
144hz	refresh_rate_hz	144HZ	ru	1.0		value_alias
144 герц	refresh_rate_hz	144HZ	ru	1.0		value_alias
165 гц	refresh_rate_hz	165HZ	ru	1.0		value_alias
165hz	refresh_rate_hz	165HZ	ru	1.0		value_alias
165 герц	refresh_rate_hz	165HZ	ru	1.0		value_alias
175 гц	refresh_rate_hz	175HZ	ru	1.0		value_alias
175hz	refresh_rate_hz	175HZ	ru	1.0		value_alias
175 герц	refresh_rate_hz	175HZ	ru	1.0		value_alias
180 гц	refresh_rate_hz	180HZ	ru	1.0		value_alias
180hz	refresh_rate_hz	180HZ	ru	1.0		value_alias
180 герц	refresh_rate_hz	180HZ	ru	1.0		value_alias
200 гц	refresh_rate_hz	200HZ	ru	1.0		value_alias
200hz	refresh_rate_hz	200HZ	ru	1.0		value_alias
200 герц	refresh_rate_hz	200HZ	ru	1.0		value_alias
240 гц	refresh_rate_hz	240HZ	ru	1.0		value_alias
240hz	refresh_rate_hz	240HZ	ru	1.0		value_alias
240 герц	refresh_rate_hz	240HZ	ru	1.0		value_alias
300 гц	refresh_rate_hz	300HZ	ru	1.0		value_alias
300hz	refresh_rate_hz	300HZ	ru	1.0		value_alias
300 герц	refresh_rate_hz	300HZ	ru	1.0		value_alias
360 гц	refresh_rate_hz	360HZ	ru	1.0		value_alias
360hz	refresh_rate_hz	360HZ	ru	1.0		value_alias
360 герц	refresh_rate_hz	360HZ	ru	1.0		value_alias
500 гц	refresh_rate_hz	500HZ	ru	1.0		value_alias
500hz	refresh_rate_hz	500HZ	ru	1.0		value_alias
500 герц	refresh_rate_hz	500HZ	ru	1.0		value_alias
5 вт	power_watts	5W	ru	1.0		value_alias
5w	power_watts	5W	ru	1.0		value_alias
5 ватт	power_watts	5W	ru	1.0		value_alias
мощность 5	power_watts	5W	ru	1.0		value_alias
10 вт	power_watts	10W	ru	1.0		value_alias
10w	power_watts	10W	ru	1.0		value_alias
10 ватт	power_watts	10W	ru	1.0		value_alias
мощность 10	power_watts	10W	ru	1.0		value_alias
12 вт	power_watts	12W	ru	1.0		value_alias
12w	power_watts	12W	ru	1.0		value_alias
12 ватт	power_watts	12W	ru	1.0		value_alias
мощность 12	power_watts	12W	ru	1.0		value_alias
15 вт	power_watts	15W	ru	1.0		value_alias
15w	power_watts	15W	ru	1.0		value_alias
15 ватт	power_watts	15W	ru	1.0		value_alias
мощность 15	power_watts	15W	ru	1.0		value_alias
18 вт	power_watts	18W	ru	1.0		value_alias
18w	power_watts	18W	ru	1.0		value_alias
18 ватт	power_watts	18W	ru	1.0		value_alias
мощность 18	power_watts	18W	ru	1.0		value_alias
20 вт	power_watts	20W	ru	1.0		value_alias
20w	power_watts	20W	ru	1.0		value_alias
20 ватт	power_watts	20W	ru	1.0		value_alias
мощность 20	power_watts	20W	ru	1.0		value_alias
25 вт	power_watts	25W	ru	1.0		value_alias
25w	power_watts	25W	ru	1.0		value_alias
25 ватт	power_watts	25W	ru	1.0		value_alias
мощность 25	power_watts	25W	ru	1.0		value_alias
30 вт	power_watts	30W	ru	1.0		value_alias
30w	power_watts	30W	ru	1.0		value_alias
30 ватт	power_watts	30W	ru	1.0		value_alias
мощность 30	power_watts	30W	ru	1.0		value_alias
33 вт	power_watts	33W	ru	1.0		value_alias
33w	power_watts	33W	ru	1.0		value_alias
33 ватт	power_watts	33W	ru	1.0		value_alias
мощность 33	power_watts	33W	ru	1.0		value_alias
45 вт	power_watts	45W	ru	1.0		value_alias
45w	power_watts	45W	ru	1.0		value_alias
45 ватт	power_watts	45W	ru	1.0		value_alias
мощность 45	power_watts	45W	ru	1.0		value_alias
60 вт	power_watts	60W	ru	1.0		value_alias
60w	power_watts	60W	ru	1.0		value_alias
60 ватт	power_watts	60W	ru	1.0		value_alias
мощность 60	power_watts	60W	ru	1.0		value_alias
65 вт	power_watts	65W	ru	1.0		value_alias
65w	power_watts	65W	ru	1.0		value_alias
65 ватт	power_watts	65W	ru	1.0		value_alias
мощность 65	power_watts	65W	ru	1.0		value_alias
67 вт	power_watts	67W	ru	1.0		value_alias
67w	power_watts	67W	ru	1.0		value_alias
67 ватт	power_watts	67W	ru	1.0		value_alias
мощность 67	power_watts	67W	ru	1.0		value_alias
90 вт	power_watts	90W	ru	1.0		value_alias
90w	power_watts	90W	ru	1.0		value_alias
90 ватт	power_watts	90W	ru	1.0		value_alias
мощность 90	power_watts	90W	ru	1.0		value_alias
100 вт	power_watts	100W	ru	1.0		value_alias
100w	power_watts	100W	ru	1.0		value_alias
100 ватт	power_watts	100W	ru	1.0		value_alias
мощность 100	power_watts	100W	ru	1.0		value_alias
120 вт	power_watts	120W	ru	1.0		value_alias
120w	power_watts	120W	ru	1.0		value_alias
120 ватт	power_watts	120W	ru	1.0		value_alias
мощность 120	power_watts	120W	ru	1.0		value_alias
140 вт	power_watts	140W	ru	1.0		value_alias
140w	power_watts	140W	ru	1.0		value_alias
140 ватт	power_watts	140W	ru	1.0		value_alias
мощность 140	power_watts	140W	ru	1.0		value_alias
200 вт	power_watts	200W	ru	1.0		value_alias
200w	power_watts	200W	ru	1.0		value_alias
200 ватт	power_watts	200W	ru	1.0		value_alias
мощность 200	power_watts	200W	ru	1.0		value_alias
240 вт	power_watts	240W	ru	1.0		value_alias
240w	power_watts	240W	ru	1.0		value_alias
240 ватт	power_watts	240W	ru	1.0		value_alias
мощность 240	power_watts	240W	ru	1.0		value_alias
330 вт	power_watts	330W	ru	1.0		value_alias
330w	power_watts	330W	ru	1.0		value_alias
330 ватт	power_watts	330W	ru	1.0		value_alias
мощность 330	power_watts	330W	ru	1.0		value_alias
500 вт	power_watts	500W	ru	1.0		value_alias
500w	power_watts	500W	ru	1.0		value_alias
500 ватт	power_watts	500W	ru	1.0		value_alias
мощность 500	power_watts	500W	ru	1.0		value_alias
600 вт	power_watts	600W	ru	1.0		value_alias
600w	power_watts	600W	ru	1.0		value_alias
600 ватт	power_watts	600W	ru	1.0		value_alias
мощность 600	power_watts	600W	ru	1.0		value_alias
750 вт	power_watts	750W	ru	1.0		value_alias
750w	power_watts	750W	ru	1.0		value_alias
750 ватт	power_watts	750W	ru	1.0		value_alias
мощность 750	power_watts	750W	ru	1.0		value_alias
850 вт	power_watts	850W	ru	1.0		value_alias
850w	power_watts	850W	ru	1.0		value_alias
850 ватт	power_watts	850W	ru	1.0		value_alias
мощность 850	power_watts	850W	ru	1.0		value_alias
1000 вт	power_watts	1000W	ru	1.0		value_alias
1000w	power_watts	1000W	ru	1.0		value_alias
1000 ватт	power_watts	1000W	ru	1.0		value_alias
мощность 1000	power_watts	1000W	ru	1.0		value_alias
1200 вт	power_watts	1200W	ru	1.0		value_alias
1200w	power_watts	1200W	ru	1.0		value_alias
1200 ватт	power_watts	1200W	ru	1.0		value_alias
мощность 1200	power_watts	1200W	ru	1.0		value_alias
1500 вт	power_watts	1500W	ru	1.0		value_alias
1500w	power_watts	1500W	ru	1.0		value_alias
1500 ватт	power_watts	1500W	ru	1.0		value_alias
мощность 1500	power_watts	1500W	ru	1.0		value_alias
2000 вт	power_watts	2000W	ru	1.0		value_alias
2000w	power_watts	2000W	ru	1.0		value_alias
2000 ватт	power_watts	2000W	ru	1.0		value_alias
мощность 2000	power_watts	2000W	ru	1.0		value_alias
3000 вт	power_watts	3000W	ru	1.0		value_alias
3000w	power_watts	3000W	ru	1.0		value_alias
3000 ватт	power_watts	3000W	ru	1.0		value_alias
мощность 3000	power_watts	3000W	ru	1.0		value_alias
usb-c	connector_type	USB_C	ru	1.0		value_alias
usb c	connector_type	USB_C	ru	1.0		value_alias
type-c	connector_type	USB_C	ru	1.0		value_alias
type c	connector_type	USB_C	ru	1.0		value_alias
тайп си	connector_type	USB_C	ru	1.0		value_alias
юсб си	connector_type	USB_C	ru	1.0		value_alias
lightning	connector_type	LIGHTNING	ru	1.0		value_alias
лайтнинг	connector_type	LIGHTNING	ru	1.0		value_alias
iphone зарядка	connector_type	LIGHTNING	ru	1.0		value_alias
micro-usb	connector_type	MICRO_USB	ru	1.0		value_alias
micro usb	connector_type	MICRO_USB	ru	1.0		value_alias
микро usb	connector_type	MICRO_USB	ru	1.0		value_alias
usb-a	connector_type	USB_A	ru	1.0		value_alias
usb a	connector_type	USB_A	ru	1.0		value_alias
обычный usb	connector_type	USB_A	ru	1.0		value_alias
usb-b	connector_type	USB_B	ru	1.0		value_alias
usb b	connector_type	USB_B	ru	1.0		value_alias
mini-usb	connector_type	MINI_USB	ru	1.0		value_alias
mini usb	connector_type	MINI_USB	ru	1.0		value_alias
thunderbolt 3	connector_type	THUNDERBOLT_3	ru	1.0		value_alias
tb3	connector_type	THUNDERBOLT_3	ru	1.0		value_alias
thunderbolt3	connector_type	THUNDERBOLT_3	ru	1.0		value_alias
thunderbolt 4	connector_type	THUNDERBOLT_4	ru	1.0		value_alias
tb4	connector_type	THUNDERBOLT_4	ru	1.0		value_alias
thunderbolt4	connector_type	THUNDERBOLT_4	ru	1.0		value_alias
hdmi	connector_type	HDMI	ru	1.0		value_alias
ашдимиай	connector_type	HDMI	ru	1.0		value_alias
displayport	connector_type	DISPLAYPORT	ru	1.0		value_alias
dp	connector_type	DISPLAYPORT	ru	1.0		value_alias
display port	connector_type	DISPLAYPORT	ru	1.0		value_alias
mini displayport	connector_type	MINI_DISPLAYPORT	ru	1.0		value_alias
mini dp	connector_type	MINI_DISPLAYPORT	ru	1.0		value_alias
vga	connector_type	VGA	ru	1.0		value_alias
вга	connector_type	VGA	ru	1.0		value_alias
dvi	connector_type	DVI	ru	1.0		value_alias
дви	connector_type	DVI	ru	1.0		value_alias
ethernet rj-45	connector_type	ETHERNET_RJ45	ru	1.0		value_alias
ethernet rj45	connector_type	ETHERNET_RJ45	ru	1.0		value_alias
rj45	connector_type	ETHERNET_RJ45	ru	1.0		value_alias
lan	connector_type	ETHERNET_RJ45	ru	1.0		value_alias
ethernet	connector_type	ETHERNET_RJ45	ru	1.0		value_alias
3.5 мм audio	connector_type	AUDIO_3_5MM	ru	1.0		value_alias
audio 3 5mm	connector_type	AUDIO_3_5MM	ru	1.0		value_alias
миниджек	connector_type	AUDIO_3_5MM	ru	1.0		value_alias
aux	connector_type	AUDIO_3_5MM	ru	1.0		value_alias
jack 3.5	connector_type	AUDIO_3_5MM	ru	1.0		value_alias
sd card	connector_type	SD_CARD	ru	1.0		value_alias
sd карта	connector_type	SD_CARD	ru	1.0		value_alias
microsd	connector_type	MICROSD	ru	1.0		value_alias
микросд	connector_type	MICROSD	ru	1.0		value_alias
sim slot	connector_type	SIM_SLOT	ru	1.0		value_alias
сим слот	connector_type	SIM_SLOT	ru	1.0		value_alias
esim	connector_type	ESIM	ru	1.0		value_alias
е сим	connector_type	ESIM	ru	1.0		value_alias
есим	connector_type	ESIM	ru	1.0		value_alias
magsafe	connector_type	MAGSAFE	ru	1.0		value_alias
магсейф	connector_type	MAGSAFE	ru	1.0		value_alias
barrel jack	connector_type	BARREL_JACK	ru	1.0		value_alias
круглый разъём	connector_type	BARREL_JACK	ru	1.0		value_alias
dc jack	connector_type	BARREL_JACK	ru	1.0		value_alias
проприетарный	connector_type	PROPRIETARY	ru	1.0		value_alias
proprietary	connector_type	PROPRIETARY	ru	1.0		value_alias
фирменный разъем	connector_type	PROPRIETARY	ru	1.0		value_alias
без разъёма	connector_type	NONE	ru	1.0		value_alias
none	connector_type	NONE	ru	1.0		value_alias
нет разъемов	connector_type	NONE	ru	1.0		value_alias
wi-fi	wireless_standard	WIFI	ru	1.0		value_alias
wifi	wireless_standard	WIFI	ru	1.0		value_alias
вай фай	wireless_standard	WIFI	ru	1.0		value_alias
wi-fi 4	wireless_standard	WIFI_4	ru	1.0		value_alias
wifi 4	wireless_standard	WIFI_4	ru	1.0		value_alias
802.11n	wireless_standard	WIFI_4	ru	1.0		value_alias
wi-fi 5	wireless_standard	WIFI_5	ru	1.0		value_alias
wifi 5	wireless_standard	WIFI_5	ru	1.0		value_alias
802.11ac	wireless_standard	WIFI_5	ru	1.0		value_alias
wi-fi 6	wireless_standard	WIFI_6	ru	1.0		value_alias
wifi 6	wireless_standard	WIFI_6	ru	1.0		value_alias
802.11ax	wireless_standard	WIFI_6	ru	1.0		value_alias
wi-fi 6e	wireless_standard	WIFI_6E	ru	1.0		value_alias
wifi 6e	wireless_standard	WIFI_6E	ru	1.0		value_alias
6e	wireless_standard	WIFI_6E	ru	1.0		value_alias
wi-fi 7	wireless_standard	WIFI_7	ru	1.0		value_alias
wifi 7	wireless_standard	WIFI_7	ru	1.0		value_alias
802.11be	wireless_standard	WIFI_7	ru	1.0		value_alias
bluetooth	wireless_standard	BLUETOOTH	ru	1.0		value_alias
блютуз	wireless_standard	BLUETOOTH	ru	1.0		value_alias
bt	wireless_standard	BLUETOOTH	ru	1.0		value_alias
nfc	wireless_standard	NFC	ru	1.0		value_alias
нфс	wireless_standard	NFC	ru	1.0		value_alias
uwb	wireless_standard	UWB	ru	1.0		value_alias
ultra wideband	wireless_standard	UWB	ru	1.0		value_alias
gps	wireless_standard	GPS	ru	1.0		value_alias
гпс	wireless_standard	GPS	ru	1.0		value_alias
glonass	wireless_standard	GPS	ru	1.0		value_alias
lte	wireless_standard	LTE	ru	1.0		value_alias
4g	wireless_standard	LTE	ru	1.0		value_alias
5g	wireless_standard	FIVE_G	ru	1.0		value_alias
five g	wireless_standard	FIVE_G	ru	1.0		value_alias
5джи	wireless_standard	FIVE_G	ru	1.0		value_alias
5 g	wireless_standard	FIVE_G	ru	1.0		value_alias
zigbee	wireless_standard	ZIGBEE	ru	1.0		value_alias
зигби	wireless_standard	ZIGBEE	ru	1.0		value_alias
z-wave	wireless_standard	ZWAVE	ru	1.0		value_alias
zwave	wireless_standard	ZWAVE	ru	1.0		value_alias
z wave	wireless_standard	ZWAVE	ru	1.0		value_alias
thread	wireless_standard	THREAD	ru	1.0		value_alias
маттер thread	wireless_standard	THREAD	ru	1.0		value_alias
matter	wireless_standard	MATTER	ru	1.0		value_alias
ir	wireless_standard	IR	ru	1.0		value_alias
инфракрасный	wireless_standard	IR	ru	1.0		value_alias
rf 433 mhz	wireless_standard	RF_433	ru	1.0		value_alias
rf 433	wireless_standard	RF_433	ru	1.0		value_alias
433 мгц	wireless_standard	RF_433	ru	1.0		value_alias
wi-fi 4	wi_fi_standard	WIFI_4	ru	1.0		value_alias
wifi 4	wi_fi_standard	WIFI_4	ru	1.0		value_alias
802.11n	wi_fi_standard	WIFI_4	ru	1.0		value_alias
wi-fi 5	wi_fi_standard	WIFI_5	ru	1.0		value_alias
wifi 5	wi_fi_standard	WIFI_5	ru	1.0		value_alias
802.11ac	wi_fi_standard	WIFI_5	ru	1.0		value_alias
wi-fi 6	wi_fi_standard	WIFI_6	ru	1.0		value_alias
wifi 6	wi_fi_standard	WIFI_6	ru	1.0		value_alias
802.11ax	wi_fi_standard	WIFI_6	ru	1.0		value_alias
wi-fi 6e	wi_fi_standard	WIFI_6E	ru	1.0		value_alias
wifi 6e	wi_fi_standard	WIFI_6E	ru	1.0		value_alias
6e	wi_fi_standard	WIFI_6E	ru	1.0		value_alias
wi-fi 7	wi_fi_standard	WIFI_7	ru	1.0		value_alias
wifi 7	wi_fi_standard	WIFI_7	ru	1.0		value_alias
802.11be	wi_fi_standard	WIFI_7	ru	1.0		value_alias
bluetooth 4.0	bluetooth_version	BT_4_0	ru	1.0		value_alias
bt 4 0	bluetooth_version	BT_4_0	ru	1.0		value_alias
bt 4.0	bluetooth_version	BT_4_0	ru	1.0		value_alias
bluetooth 4.2	bluetooth_version	BT_4_2	ru	1.0		value_alias
bt 4 2	bluetooth_version	BT_4_2	ru	1.0		value_alias
bt 4.2	bluetooth_version	BT_4_2	ru	1.0		value_alias
bluetooth 5.0	bluetooth_version	BT_5_0	ru	1.0		value_alias
bt 5 0	bluetooth_version	BT_5_0	ru	1.0		value_alias
bt 5.0	bluetooth_version	BT_5_0	ru	1.0		value_alias
bluetooth 5.1	bluetooth_version	BT_5_1	ru	1.0		value_alias
bt 5 1	bluetooth_version	BT_5_1	ru	1.0		value_alias
bt 5.1	bluetooth_version	BT_5_1	ru	1.0		value_alias
bluetooth 5.2	bluetooth_version	BT_5_2	ru	1.0		value_alias
bt 5 2	bluetooth_version	BT_5_2	ru	1.0		value_alias
bt 5.2	bluetooth_version	BT_5_2	ru	1.0		value_alias
bluetooth 5.3	bluetooth_version	BT_5_3	ru	1.0		value_alias
bt 5 3	bluetooth_version	BT_5_3	ru	1.0		value_alias
bt 5.3	bluetooth_version	BT_5_3	ru	1.0		value_alias
bluetooth 5.4	bluetooth_version	BT_5_4	ru	1.0		value_alias
bt 5 4	bluetooth_version	BT_5_4	ru	1.0		value_alias
bt 5.4	bluetooth_version	BT_5_4	ru	1.0		value_alias
2g	network_generation	TWO_G	ru	1.0		value_alias
two g	network_generation	TWO_G	ru	1.0		value_alias
3g	network_generation	THREE_G	ru	1.0		value_alias
three g	network_generation	THREE_G	ru	1.0		value_alias
4g	network_generation	FOUR_G	ru	1.0		value_alias
four g	network_generation	FOUR_G	ru	1.0		value_alias
lte	network_generation	LTE	ru	1.0		value_alias
5g	network_generation	FIVE_G	ru	1.0		value_alias
five g	network_generation	FIVE_G	ru	1.0		value_alias
5g nr	network_generation	FIVE_G_NR	ru	1.0		value_alias
five g nr	network_generation	FIVE_G_NR	ru	1.0		value_alias
ethernet	network_generation	ETHERNET	ru	1.0		value_alias
gigabit ethernet	network_generation	GIGABIT_ETHERNET	ru	1.0		value_alias
10g ethernet	network_generation	TEN_G_ETHERNET	ru	1.0		value_alias
ten g ethernet	network_generation	TEN_G_ETHERNET	ru	1.0		value_alias
ios	os_family	IOS	ru	1.0		value_alias
айос	os_family	IOS	ru	1.0		value_alias
android	os_family	ANDROID	ru	1.0		value_alias
андроид	os_family	ANDROID	ru	1.0		value_alias
windows	os_family	WINDOWS	ru	1.0		value_alias
виндовс	os_family	WINDOWS	ru	1.0		value_alias
macos	os_family	MACOS	ru	1.0		value_alias
макос	os_family	MACOS	ru	1.0		value_alias
linux	os_family	LINUX	ru	1.0		value_alias
линукс	os_family	LINUX	ru	1.0		value_alias
chromeos	os_family	CHROMEOS	ru	1.0		value_alias
хромбук	os_family	CHROMEOS	ru	1.0		value_alias
watchos	os_family	WATCHOS	ru	1.0		value_alias
apple watch os	os_family	WATCHOS	ru	1.0		value_alias
tvos	os_family	TVOS	ru	1.0		value_alias
apple tv	os_family	TVOS	ru	1.0		value_alias
fire os	os_family	FIREOS	ru	1.0		value_alias
fireos	os_family	FIREOS	ru	1.0		value_alias
amazon fire	os_family	FIREOS	ru	1.0		value_alias
harmonyos	os_family	HARMONYOS	ru	1.0		value_alias
huawei harmony	os_family	HARMONYOS	ru	1.0		value_alias
проприетарная ос	os_family	PROPRIETARY	ru	1.0		value_alias
proprietary	os_family	PROPRIETARY	ru	1.0		value_alias
фирменная ос	os_family	PROPRIETARY	ru	1.0		value_alias
без ос	os_family	NONE	ru	1.0		value_alias
none	os_family	NONE	ru	1.0		value_alias
нет ос	os_family	NONE	ru	1.0		value_alias
портативный	form_factor	PORTABLE	ru	1.0		value_alias
portable	form_factor	PORTABLE	ru	1.0		value_alias
настольный	form_factor	DESKTOP	ru	1.0		value_alias
desktop	form_factor	DESKTOP	ru	1.0		value_alias
ручной	form_factor	HANDHELD	ru	1.0		value_alias
handheld	form_factor	HANDHELD	ru	1.0		value_alias
носимый	form_factor	WEARABLE	ru	1.0		value_alias
wearable	form_factor	WEARABLE	ru	1.0		value_alias
стоечный	form_factor	RACKMOUNT	ru	1.0		value_alias
rackmount	form_factor	RACKMOUNT	ru	1.0		value_alias
встраиваемый	form_factor	BUILT_IN	ru	1.0		value_alias
built in	form_factor	BUILT_IN	ru	1.0		value_alias
аксессуар	form_factor	ACCESSORY	ru	1.0		value_alias
accessory	form_factor	ACCESSORY	ru	1.0		value_alias
компонент	form_factor	COMPONENT	ru	1.0		value_alias
component	form_factor	COMPONENT	ru	1.0		value_alias
моноблок	form_factor	ALL_IN_ONE	ru	1.0		value_alias
all in one	form_factor	ALL_IN_ONE	ru	1.0		value_alias
складной	form_factor	FOLDABLE	ru	1.0		value_alias
foldable	form_factor	FOLDABLE	ru	1.0		value_alias
защищённый	form_factor	RUGGED	ru	1.0		value_alias
rugged	form_factor	RUGGED	ru	1.0		value_alias
сеть 220в	power_source	AC_MAINS	ru	1.0		value_alias
ac mains	power_source	AC_MAINS	ru	1.0		value_alias
аккумулятор	power_source	BATTERY	ru	1.0		value_alias
battery	power_source	BATTERY	ru	1.0		value_alias
питание usb	power_source	USB_POWERED	ru	1.0		value_alias
usb powered	power_source	USB_POWERED	ru	1.0		value_alias
poe	power_source	POE	ru	1.0		value_alias
солнечная панель	power_source	SOLAR	ru	1.0		value_alias
solar	power_source	SOLAR	ru	1.0		value_alias
12в авто	power_source	CAR_12V	ru	1.0		value_alias
car 12v	power_source	CAR_12V	ru	1.0		value_alias
пассивное	power_source	PASSIVE	ru	1.0		value_alias
passive	power_source	PASSIVE	ru	1.0		value_alias
сменные батарейки	power_source	REPLACEABLE_BATTERY	ru	1.0		value_alias
replaceable battery	power_source	REPLACEABLE_BATTERY	ru	1.0		value_alias
ipx4	water_resistance	IPX4	ru	1.0		value_alias
ipx5	water_resistance	IPX5	ru	1.0		value_alias
ipx7	water_resistance	IPX7	ru	1.0		value_alias
ip67	water_resistance	IP67	ru	1.0		value_alias
ip68	water_resistance	IP68	ru	1.0		value_alias
ip69k	water_resistance	IP69K	ru	1.0		value_alias
3 atm	water_resistance	ATM_3	ru	1.0		value_alias
atm 3	water_resistance	ATM_3	ru	1.0		value_alias
5 atm	water_resistance	ATM_5	ru	1.0		value_alias
atm 5	water_resistance	ATM_5	ru	1.0		value_alias
10 atm	water_resistance	ATM_10	ru	1.0		value_alias
atm 10	water_resistance	ATM_10	ru	1.0		value_alias
нет влагозащиты	water_resistance	NONE	ru	1.0		value_alias
none	water_resistance	NONE	ru	1.0		value_alias
ssd	storage_type	SSD	ru	1.0		value_alias
hdd	storage_type	HDD	ru	1.0		value_alias
nvme ssd	storage_type	NVME_SSD	ru	1.0		value_alias
sata ssd	storage_type	SATA_SSD	ru	1.0		value_alias
emmc	storage_type	EMMC	ru	1.0		value_alias
ufs	storage_type	UFS	ru	1.0		value_alias
microsd	storage_type	MICROSD	ru	1.0		value_alias
sd card	storage_type	SD_CARD	ru	1.0		value_alias
usb flash	storage_type	USB_FLASH	ru	1.0		value_alias
только облако	storage_type	CLOUD_ONLY	ru	1.0		value_alias
cloud only	storage_type	CLOUD_ONLY	ru	1.0		value_alias
ddr3	memory_type	DDR3	ru	1.0		value_alias
ddr4	memory_type	DDR4	ru	1.0		value_alias
ddr5	memory_type	DDR5	ru	1.0		value_alias
lpddr4x	memory_type	LPDDR4X	ru	1.0		value_alias
lpddr5	memory_type	LPDDR5	ru	1.0		value_alias
lpddr5x	memory_type	LPDDR5X	ru	1.0		value_alias
gddr6	memory_type	GDDR6	ru	1.0		value_alias
gddr6x	memory_type	GDDR6X	ru	1.0		value_alias
1 ядер	cpu_cores	1	ru	1.0		value_alias
1	cpu_cores	1	ru	1.0		value_alias
2 ядер	cpu_cores	2	ru	1.0		value_alias
2	cpu_cores	2	ru	1.0		value_alias
4 ядер	cpu_cores	4	ru	1.0		value_alias
4	cpu_cores	4	ru	1.0		value_alias
6 ядер	cpu_cores	6	ru	1.0		value_alias
6	cpu_cores	6	ru	1.0		value_alias
8 ядер	cpu_cores	8	ru	1.0		value_alias
8	cpu_cores	8	ru	1.0		value_alias
10 ядер	cpu_cores	10	ru	1.0		value_alias
10	cpu_cores	10	ru	1.0		value_alias
12 ядер	cpu_cores	12	ru	1.0		value_alias
12	cpu_cores	12	ru	1.0		value_alias
14 ядер	cpu_cores	14	ru	1.0		value_alias
14	cpu_cores	14	ru	1.0		value_alias
16 ядер	cpu_cores	16	ru	1.0		value_alias
16	cpu_cores	16	ru	1.0		value_alias
24 ядер	cpu_cores	24	ru	1.0		value_alias
24	cpu_cores	24	ru	1.0		value_alias
32 ядер	cpu_cores	32	ru	1.0		value_alias
32	cpu_cores	32	ru	1.0		value_alias
64 ядер	cpu_cores	64	ru	1.0		value_alias
64	cpu_cores	64	ru	1.0		value_alias
720p	video_resolution	HD_720P	ru	1.0		value_alias
hd 720p	video_resolution	HD_720P	ru	1.0		value_alias
1080p	video_resolution	FHD_1080P	ru	1.0		value_alias
fhd 1080p	video_resolution	FHD_1080P	ru	1.0		value_alias
1440p	video_resolution	QHD_1440P	ru	1.0		value_alias
qhd 1440p	video_resolution	QHD_1440P	ru	1.0		value_alias
4k	video_resolution	UHD_4K	ru	1.0		value_alias
uhd 4k	video_resolution	UHD_4K	ru	1.0		value_alias
6k	video_resolution	UHD_6K	ru	1.0		value_alias
uhd 6k	video_resolution	UHD_6K	ru	1.0		value_alias
8k	video_resolution	UHD_8K	ru	1.0		value_alias
uhd 8k	video_resolution	UHD_8K	ru	1.0		value_alias
ips	panel_type	IPS	ru	1.0		value_alias
va	panel_type	VA	ru	1.0		value_alias
tn	panel_type	TN	ru	1.0		value_alias
oled	panel_type	OLED	ru	1.0		value_alias
amoled	panel_type	AMOLED	ru	1.0		value_alias
mini led	panel_type	MINI_LED	ru	1.0		value_alias
micro led	panel_type	MICRO_LED	ru	1.0		value_alias
lcd	panel_type	LCD	ru	1.0		value_alias
e-ink	panel_type	E_INK	ru	1.0		value_alias
e ink	panel_type	E_INK	ru	1.0		value_alias
16:9	aspect_ratio	RATIO_16_9	ru	1.0		value_alias
ratio 16 9	aspect_ratio	RATIO_16_9	ru	1.0		value_alias
16:10	aspect_ratio	RATIO_16_10	ru	1.0		value_alias
ratio 16 10	aspect_ratio	RATIO_16_10	ru	1.0		value_alias
21:9	aspect_ratio	RATIO_21_9	ru	1.0		value_alias
ratio 21 9	aspect_ratio	RATIO_21_9	ru	1.0		value_alias
32:9	aspect_ratio	RATIO_32_9	ru	1.0		value_alias
ratio 32 9	aspect_ratio	RATIO_32_9	ru	1.0		value_alias
4:3	aspect_ratio	RATIO_4_3	ru	1.0		value_alias
ratio 4 3	aspect_ratio	RATIO_4_3	ru	1.0		value_alias
3:2	aspect_ratio	RATIO_3_2	ru	1.0		value_alias
ratio 3 2	aspect_ratio	RATIO_3_2	ru	1.0		value_alias
hdr10	hdr_standard	HDR10	ru	1.0		value_alias
hdr10+	hdr_standard	HDR10_PLUS	ru	1.0		value_alias
hdr10 plus	hdr_standard	HDR10_PLUS	ru	1.0		value_alias
dolby vision	hdr_standard	DOLBY_VISION	ru	1.0		value_alias
hlg	hdr_standard	HLG	ru	1.0		value_alias
displayhdr 400	hdr_standard	DISPLAYHDR_400	ru	1.0		value_alias
displayhdr 600	hdr_standard	DISPLAYHDR_600	ru	1.0		value_alias
