alias	canonical_kind	canonical_value	locale	confidence	positive_context	negative_context	route_hint	notes
радеон	family	RADEON_RX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Ryzen	family	RYZEN	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
райзен	family	RYZEN	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Core i	family	CORE_I	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
intel core	family	CORE_I	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
PlayStation	family	PLAYSTATION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ps	family	PLAYSTATION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ps5	family	PLAYSTATION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ps4	family	PLAYSTATION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
пс5	family	PLAYSTATION	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Xbox Series	family	XBOX_SERIES	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
series x	family	XBOX_SERIES	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
series s	family	XBOX_SERIES	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Nintendo Switch	family	NINTENDO_SWITCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
свитч	family	NINTENDO_SWITCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
switch oled	family	NINTENDO_SWITCH	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Quest	family	QUEST	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
oculus quest	family	QUEST	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
meta quest	family	QUEST	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Alpha	family	ALPHA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
sony alpha	family	ALPHA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
sony a	family	ALPHA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
EOS	family	EOS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
canon eos	family	EOS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Nikon Z	family	NIKON_Z	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Lumix	family	LUMIX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
панасоник люмикс	family	LUMIX	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Mavic	family	MAVIC	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
dji mavic	family	MAVIC	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
DJI Mini	family	MINI_DRONE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
mini drone	family	MINI_DRONE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Osmo	family	OSMO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
dji osmo	family	OSMO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
HERO	family	HERO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
gopro hero	family	HERO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
WH-1000X	family	WH_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
wh 1000x	family	WH_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
sony wh1000	family	WH_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
wh-1000	family	WH_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
WF-1000X	family	WF_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
wf 1000x	family	WF_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
sony wf1000	family	WF_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
wf-1000	family	WF_1000X	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
QuietComfort	family	QUIETCOMFORT	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
qc	family	QUIETCOMFORT	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
bose quietcomfort	family	QUIETCOMFORT	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
JBL Flip	family	FLIP	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
flip	family	FLIP	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
джибиэль флип	family	FLIP	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
JBL Charge	family	CHARGE_SPEAKER	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
charge speaker	family	CHARGE_SPEAKER	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Echo	family	ECHO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
amazon echo	family	ECHO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Nest	family	NEST	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
google nest	family	NEST	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Archer	family	ARCHER	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
tp-link archer	family	ARCHER	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Deco	family	DECO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
tp-link deco	family	DECO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
UniFi	family	UNIFI	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ubiquiti unifi	family	UNIFI	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
LaserJet	family	LASERJET	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
hp laserjet	family	LASERJET	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
PIXMA	family	PIXMA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
canon pixma	family	PIXMA	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
EcoTank	family	ECOTANK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
epson ecotank	family	ECOTANK	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
DriveSmart	family	DRIVESMART	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
garmin drivesmart	family	DRIVESMART	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
BlackVue DR	family	DASHCAM_BLACKVUE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
dashcam blackvue	family	DASHCAM_BLACKVUE	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
My Passport	family	MYPASSPORT	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
mypassport	family	MYPASSPORT	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
wd my passport	family	MYPASSPORT	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
Extreme Pro	family	EXTREME_PRO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
sandisk extreme pro	family	EXTREME_PRO	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
DiskStation	family	DS_NAS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
ds nas	family	DS_NAS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
synology diskstation	family	DS_NAS	ru-RU	0.90	tech product title, model text, source attrs	compatibility preposition: для/совместим/чехол only changes identity_context_role		family head alias; not exact model registry
модель	attribute	model	ru-RU	0.88	identity extraction context			model marker
model	attribute	model	ru-RU	0.88	identity extraction context			model marker
модельный номер	attribute	model_number	ru-RU	0.88	identity extraction context			model number marker
model no	attribute	model_number	ru-RU	0.88	identity extraction context			model number marker
номер модели	attribute	model_number	ru-RU	0.88	identity extraction context			model number marker
part number	attribute	part_number	ru-RU	0.88	identity extraction context			part number marker
p/n	attribute	part_number	ru-RU	0.88	identity extraction context			part number marker
mpn	attribute	mpn	ru-RU	0.88	identity extraction context			mpn marker
артикул производителя	attribute	mpn	ru-RU	0.88	identity extraction context			mpn marker
ean	attribute	ean	ru-RU	0.88	identity extraction context			ean marker
upc	attribute	upc	ru-RU	0.88	identity extraction context			upc marker
gtin	attribute	gtin	ru-RU	0.88	identity extraction context			gtin marker
штрихкод	attribute	gtin	ru-RU	0.88	identity extraction context			barcode marker
серийный номер	attribute	serial_number_masked	ru-RU	0.88	identity extraction context			serial private marker
imei	attribute	imei_hash	ru-RU	0.88	identity extraction context			private id marker
rev	attribute	hardware_revision	ru-RU	0.88	identity extraction context			revision marker
revision	attribute	hardware_revision	ru-RU	0.88	identity extraction context			revision marker
gen	attribute	generation	ru-RU	0.88	identity extraction context			generation marker
поколение	attribute	generation	ru-RU	0.88	identity extraction context			generation marker
series	attribute	series	ru-RU	0.88	identity extraction context			series marker
серия	attribute	series	ru-RU	0.88	identity extraction context			series marker
версия для европы	region_variant	EU	ru-RU	0.88	identity extraction context			region
европейская версия	region_variant	EU	ru-RU	0.88	identity extraction context			region
ростест	region_variant	RU	ru-RU	0.88	identity extraction context			region
eac	region_variant	RU	ru-RU	0.88	identity extraction context			region
global version	region_variant	GLOBAL	ru-RU	0.88	identity extraction context			region
глобальная версия	region_variant	GLOBAL	ru-RU	0.88	identity extraction context			region
china version	region_variant	CN	ru-RU	0.88	identity extraction context			region
китайская версия	region_variant	CN	ru-RU	0.88	identity extraction context			region
japan version	region_variant	JP	ru-RU	0.88	identity extraction context			region
unlocked	region_variant	UNLOCKED	ru-RU	0.88	identity extraction context			carrier lock
залочен	region_variant	CARRIER_LOCKED	ru-RU	0.88	identity extraction context			carrier lock
operator locked	region_variant	CARRIER_LOCKED	ru-RU	0.88	identity extraction context			carrier lock
pro	variant_label	PRO	ru-RU	0.88	identity extraction context			variant
max	variant_label	MAX	ru-RU	0.88	identity extraction context			variant
ultra	variant_label	ULTRA	ru-RU	0.88	identity extraction context			variant
mini	variant_label	MINI	ru-RU	0.88	identity extraction context			variant
plus	variant_label	PLUS	ru-RU	0.88	identity extraction context			variant
se	variant_label	SE	ru-RU	0.88	identity extraction context			variant
lite	variant_label	LITE	ru-RU	0.88	identity extraction context			variant
digital edition	edition	DIGITAL_EDITION	ru-RU	0.88	identity extraction context			edition
founders edition	edition	FOUNDERS_EDITION	ru-RU	0.88	identity extraction context			edition
creator edition	edition	CREATOR_EDITION	ru-RU	0.88	identity extraction context			edition
для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
совместим с	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
подходит для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
чехол для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
кабель для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
зарядка для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
стекло для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
ремешок для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
держатель для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
аккумулятор для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
экран для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
дисплей для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
крышка для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
клавиатура для	context_marker	ACCESSORY_COMPATIBILITY_HINT	ru-RU	0.98	near family/model tokens		ACCESSORY_CONTEXT	switch identity_context_role to ACCESSORY_COMPATIBILITY_HINT, do not route as own device only by model token
комплект	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
набор	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
bundle	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
kit	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
в комплекте	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
плюс	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
с чехлом	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
с зарядкой	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
с наушниками	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
донор	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
на запчасти	context_marker	BUNDLE_OR_KIT	ru-RU	0.82	title/description		BUNDLE_CONTEXT	may downgrade exact identity or mark secondary item
A1708	model_or_part_token	A1708	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
A2338	model_or_part_token	A2338	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
A2485	model_or_part_token	A2485	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
SM-G991B	model_or_part_token	SM-G991B	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
SM-S918B	model_or_part_token	SM-S918B	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
CFI-1216A	model_or_part_token	CFI-1216A	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
CFI-1200	model_or_part_token	CFI-1200	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
MK2E3	model_or_part_token	MK2E3	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
20XW	model_or_part_token	20XW	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
9310	model_or_part_token	9310	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
U2720Q	model_or_part_token	U2720Q	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
27GP850	model_or_part_token	27GP850	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
RTX 4070	model_or_part_token	RTX 4070	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
RX 7800 XT	model_or_part_token	RX 7800 XT	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
i7-13700K	model_or_part_token	i7-13700K	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
Ryzen 5 7600X	model_or_part_token	Ryzen 5 7600X	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
DS220+	model_or_part_token	DS220+	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
AX73	model_or_part_token	AX73	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
RT-AX86U	model_or_part_token	RT-AX86U	ru-RU	0.80	strong when paired with brand/family			example token pattern, not registry row
